fips_a,fips_b,lc_type,accuracy,n_a,n_b,imp_st_damcat,imp_bldgtype,imp_clr
6005,6017,urban+grass,0.8936979147822521,588,409,5.080553729962273,5.147723348285184,89.77172292175251
6005,6067,urban+grass,0.9671140345702319,588,4034,4.41153768080519,2.5492599051038543,93.03920241409094
6005,6077,urban+grass,0.9404320987654321,588,2652,4.289835541302003,1.6498224724386188,94.06034198625936
6007,6011,urban+grass,,2507,5,,,
6007,6021,urban+grass,0.9373856554450021,2507,815,5.2103727583102035,3.3608405444194935,91.42878669727033
6007,6063,urban+grass,,2507,11,,,
6007,6101,urban+grass,,2507,0,,,
6007,6103,urban+grass,0.9401265643409603,2507,2537,12.046121968614138,2.242515226719075,85.71136280466679
6007,6115,urban+grass,0.9835470147193816,2507,228,18.556169698454667,3.2638879712301416,78.17994233031517
6009,6077,urban+grass,0.9970462259745753,734,2652,15.814040695938884,0.596924761016744,83.58903454304438
6009,6099,urban+grass,0.9933499584372402,734,469,5.573006266782,1.8437851815881938,92.5832085516298
6009,6109,urban+grass,,734,0,,,
6011,6021,urban+grass,,5,815,,,
6011,6033,urban+grass,,5,1123,,,
6011,6101,urban+grass,,5,0,,,
6011,6113,urban+grass,,5,527,,,
6013,6041,urban+grass,0.9960407816588162,21307,667,5.003031505181173,1.2764749167510356,93.72049357806782
6013,6067,urban+grass,0.9451087170987728,21307,4034,1.6461116687312831,2.5817759686656068,95.77211236260311
6013,6075,urban+grass,,21307,0,,,
6013,6077,urban+grass,0.90320957631784,21307,2652,9.239352029084202,11.611217486952595,79.1494304839632
6013,6095,urban+grass,0.6973916272161887,21307,21785,5.189593129575973,1.562399325420744,93.24800754500328
6013,6097,urban+grass,0.6875106491736241,21307,13907,14.984189588508707,7.5776927509400975,77.43811766055119
6015,6023,urban+grass,,0,17,,,
6015,6093,urban+grass,,0,744,,,
6017,6061,urban+grass,0.9533962443271958,409,5127,5.561202218427626,3.0891557757728143,91.34964200579955
6017,6067,urban+grass,0.968039612874184,409,4034,6.324956509405245,2.7764059447293024,90.89863754586544
6019,6027,urban+grass,0.9744338933528122,3414,693,6.10789486853586,5.231963023958257,88.66014210750589
6019,6031,urban+grass,0.9574679705962527,3414,583,7.2104470684489765,4.860331197676922,87.9292217338741
6019,6039,urban+grass,0.9554401903525848,3414,1209,3.409003085042411,3.9461263242319853,92.64487059072562
6019,6047,urban+grass,0.9480319464149737,3414,1031,1.4483234956830784,1.5443564854255474,97.00732001889135
