fips,local
6001,0.10545472431262615
6003,0.57217057695145379
6005,0.019300575475874368
6007,0.062662928532782367
6009,0.019300575475874368
6011,-0.011509517485613146
6013,-0.13866228208857689
6015,0.23240371845949553
6017,0.52124833997343978
6019,0.26663715508337005
6021,-0.22204515272244388
6023,0.52124833997343978
6025,0.56404013575328293
6027,3.6394864984506414
6029,1.5161575918548027
6031,-1.1155378486055776
6033,-0.077123604348039915
6035,-0.39663567950420547
6037,-0.62557178692636861
6039,-0.18096502877379383
6041,0.42496679946879173
6043,-0.05644090305444871
6045,-0.016501893659928078
6047,0.044119817028183496
6049,0.2110078205695734
6051,0.2503762726870295
6053,-0.10907481186365663
6055,0.048398996606168004
6057,-0.11706261374256041
6059,-0.6341301460823372
6061,0.019300575475874368
6063,-0.21691013722886218
6065,0.39287295263390848
6067,0.0061420982735724081
6069,0.022723919138261665
6071,1.4973292017116717
6073,-0.01578869706359752
6075,0.689206138409326
6077,0.0070335940189857329
6079,0.44636269735871309
6081,0.61432049579459957
6083,0.3964389356155622
6085,0.059810142147459631
6087,-0.15272244355909681
6089,-0.10351187841227673
6091,0.082632433230042893
6093,-0.40091485908218982
6095,0.059810142147459631
6097,0.0163051497712853
6099,-0.12276818651320642
6101,-0.14701687078845105
6103,-0.048595740494810906
6105,0.235827062121883
6107,0.79939501254242262
6109,0.13754857114750896
6111,0.44636269735871309
6113,-0.10422507500860753
6115,-0.37737937140327582
