fips,lc_type,divergence,anomalous
6001,forest,0.56503992038017,False
6001,grass,0.3775379024361514,False
6001,shrub,0.43175907383758083,False
6001,urban,0.40466467155216657,False
6001,urban+barren,0.17105832357665732,False
6001,urban+crop,0.5365474834987216,False
6001,urban+forest,0.5215499660490072,False
6001,urban+grass,0.4725928983183551,False
6001,urban+other,0.42931190124759433,False
6001,urban+shrub,0.3942564988664064,False
6003,forest,0.6951044312761852,False
6003,shrub,0.7701732842425945,True
6003,urban+forest,0.7250793860186767,True
6003,urban+shrub,0.706965131490838,True
6005,crop,0.6199461719499452,False
6005,forest,0.657676030303709,False
6005,grass,0.7111637571778062,True
6005,shrub,0.661617755907023,False
6005,urban+forest,0.677915572274697,False
6005,urban+grass,0.6602410556716234,False
6005,urban+shrub,0.6605988199939428,False
6007,crop,0.5140206205531509,False
6007,forest,0.5462705426317128,False
6007,grass,0.5809084795175417,False
6007,shrub,0.5882214921442682,False
6007,urban+crop,0.49658512191783305,False
6007,urban+forest,0.5285076696234468,False
6007,urban+grass,0.49357329539372,False
6007,urban+shrub,0.6104321076861651,False
6009,forest,0.61872638619585,False
6009,grass,0.6688179180536054,False
6009,shrub,0.5995749759280837,False
6009,urban+forest,0.6232209481670852,False
6009,urban+grass,0.6618244250014157,False
6009,urban+shrub,0.59362892847138,False
6011,crop,0.7141245983600121,True
6011,forest,0.7086119794862562,True
6011,grass,0.7663751177970626,True
6011,shrub,0.7331067455311036,True
6011,urban+crop,0.6889512430628183,False
6011,urban+forest,0.6986168374150944,False
6011,urban+grass,0.7555878370102378,True
6011,urban+shrub,0.6566878173614145,False
6013,crop,0.4840719298878322,False
6013,forest,0.5345706102186996,False
6013,grass,0.5826027424532193,False
6013,other,0.0,False
6013,shrub,0.5840076908238961,False
6013,urban,0.6426867336602432,False
6013,urban+barren,0.6921446896387559,False
6013,urban+crop,0.469305317339477,False
6013,urban+forest,0.5169372957520771,False
6013,urban+grass,0.45648978016014014,False
6013,urban+other,0.8111161540284432,True
6013,urban+shrub,0.6011542619200185,False
6015,forest,0.6469203546043409,False
6015,urban+forest,0.6656964102978759,False
6017,forest,0.502102533016204,False
6017,shrub,0.5706291931484047,False
6017,urban+forest,0.46392667769953544,False
6017,urban+grass,0.46555333497242846,False
6017,urban+shrub,0.5998786610244208,False
6019,barren,0.19818200103742967,False
6019,crop,0.4675882164307574,False
6019,forest,0.5657890324526083,False
6019,grass,0.43522222880669076,False
6019,shrub,0.44471192806207455,False
6019,urban,0.4093566390976316,False
6019,urban+barren,0.15777291441401803,False
6019,urban+crop,0.530992009805895,False
6019,urban+forest,0.5177905922576634,False
6019,urban+grass,0.4758631615111309,False
6019,urban+shrub,0.403830223288902,False
6021,crop,0.5858577487371918,False
6021,forest,0.6254524765919779,False
6021,grass,0.6461779156056576,False
6021,shrub,0.6782467283211724,False
6021,urban+crop,0.6141542281870918,False
6021,urban+forest,0.6230387395750833,False
6021,urban+grass,0.6421590041341217,False
6021,urban+shrub,0.6566853617781576,False
6023,forest,0.5870754089271224,False
6023,shrub,0.6951215395053566,False
6023,urban,0.7132033324210212,True
6023,urban+barren,0.7615806455051605,True
6023,urban+forest,0.6424228276300605,False
6023,urban+grass,0.6931767199417758,False
6023,urban+shrub,0.7074509050492593,True
6025,barren,0.5386231836006953,False
6025,crop,0.6099324020957565,False
6025,forest,0.6219485327134713,False
6025,shrub,0.6214782444718924,False
6025,urban,0.5882137711165519,False
6025,urban+barren,0.6427012835920927,False
6025,urban+crop,0.6241917468654045,False
6025,urban+forest,0.6198739388513439,False
6025,urban+shrub,0.6079181998936759,False
6027,barren,0.7239227700642962,True
6027,crop,0.8095188477628633,True
6027,forest,0.6591091431714513,False
6027,grass,0.7004677804718251,False
6027,shrub,0.7066050067440971,True
6027,urban+barren,0.706026926241974,True
6027,urban+crop,0.7141807620261109,True
6027,urban+forest,0.6951784027821734,False
6027,urban+grass,0.7025880971087659,False
6027,urban+shrub,0.6469794244075536,False
6029,barren,0.19538829491336557,False
6029,crop,0.4709032675877829,False
6029,forest,0.5529561686536251,False
6029,grass,0.3399608279422469,False
6029,shrub,0.42632265547454257,False
6029,urban,0.40567776648316295,False
6029,urban+barren,0.15386407274037397,False
6029,urban+crop,0.5312605353818745,False
6029,urban+forest,0.5176362441093796,False
6029,urban+grass,0.47595360633310674,False
6029,urban+shrub,0.3979006606628579,False
6031,barren,0.571894124205803,False
6031,crop,0.6196176585174012,False
6031,forest,0.6138846830241849,False
6031,grass,0.6651397552615849,False
6031,shrub,0.6012572006504636,False
6031,urban+barren,0.656921013185328,False
6031,urban+crop,0.6278476055257356,False
6031,urban+forest,0.6202303396893871,False
6031,urban+grass,0.6591283412396121,False
6031,urban+shrub,0.6086792528465643,False
6033,crop,0.6305879598211191,False
6033,forest,0.5844433514459054,False
6033,grass,0.6862851702646472,False
6033,shrub,0.677473334654667,False
6033,urban+crop,0.76052649828853,True
6033,urban+forest,0.6416724339481442,False
6033,urban+grass,0.6881981280819837,False
6033,urban+shrub,0.7110699789518182,True
6035,crop,0.5998443261644961,False
6035,forest,0.6550149217304759,False
6035,grass,0.6348286390097794,False
6035,shrub,0.6927038946453151,False
6035,urban+crop,0.641249318489651,False
6035,urban+forest,0.6708259131103728,False
6035,urban+grass,0.6680423904359428,False
6035,urban+shrub,0.6609927508612933,False
6037,barren,0.5563764780564163,False
6037,crop,0.7147123836611328,True
6037,forest,0.5891859232905517,False
6037,grass,0.5552239329653821,False
6037,shrub,0.5379260427562852,False
6037,urban,0.41776868704364006,False
