lc_type,clr,count,total,proportion,stable
grass,ivory,786,15954,0.04926664159458443,False
grass,lavender,238,15954,0.014917888930675693,False
grass,lemon,50,15954,0.003134010279553717,False
grass,lilac,50,15954,0.003134010279553717,False
grass,navy,943,15954,0.059107433872383104,False
grass,olive,449,15954,0.028143412310392378,False
grass,orange,1120,15954,0.07020183026200326,True
grass,plum,8,15954,0.0005014416447285947,False
grass,purple,181,15954,0.011345117211984456,False
grass,red,437,15954,0.027391249843299485,False
grass,sage,288,15954,0.01805189921022941,False
grass,sienna,12,15954,0.000752162467092892,False
grass,tan,25,15954,0.0015670051397768585,False
grass,terracotta,447,15954,0.02801805189921023,False
grass,verde,33,15954,0.002068446784505453,False
other,brown,4,4,1.0,False
shrub,alabaster,13519,134092,0.10081884079587149,True
shrub,amber,3106,134092,0.02316320138412433,True
shrub,aqua,751,134092,0.005600632401634699,False
shrub,aquamarine,302,134092,0.0022521850669689467,False
shrub,azure,3324,134092,0.024788950869552247,True
shrub,bar,154,134092,0.0011484652328252244,False
shrub,beige,2674,134092,0.01994153267905617,True
shrub,blue,1768,134092,0.01318497747814933,True
shrub,brown,17384,134092,0.12964233511320586,True
shrub,cocoa,34210,134092,0.255123348149032,True
shrub,coffee,4718,134092,0.035184798496554606,True
shrub,crimson,42,134092,0.00031321779077051577,False
shrub,emerald,9,134092,6.711809802225338e-05,False
shrub,foo,740,134092,0.005518599170718611,False
shrub,gold,10,134092,7.457566446917042e-05,False
shrub,gray,994,134092,0.00741282104823554,False
shrub,green,3851,134092,0.02871908838707753,True
shrub,grey,806,134092,0.006010798556215136,False
shrub,indigo,1346,134092,0.010037884437550338,True
shrub,ivory,2820,134092,0.021030337380306057,True
shrub,lavender,3190,134092,0.023789636965665363,True
shrub,lemon,1005,134092,0.007494854279151628,True
shrub,lilac,952,134092,0.007099603257465024,False
shrub,maroon,15,134092,0.00011186349670375564,False
shrub,navy,7507,134092,0.05598395131700624,True
shrub,olive,4364,134092,0.032544819974345975,True
shrub,orange,6913,134092,0.05155415684753751,True
shrub,plum,30,134092,0.00022372699340751127,False
shrub,purple,899,134092,0.0067043522357784205,False
shrub,red,5402,134092,0.04028577394624586,True
shrub,sage,4887,134092,0.03644512722608358,True
shrub,scarlet,2,134092,1.4915132893834084e-05,False
shrub,sienna,451,134092,0.003363362467559586,False
shrub,tan,545,134092,0.004064373713569788,False
shrub,terracotta,4751,134092,0.03543089818930287,True
shrub,verde,630,134092,0.004698266861557736,False
shrub,yellow,21,134092,0.00015660889538525788,False
urban,alabaster,304113,5671471,0.053621538398062864,True
urban,amber,294544,5671471,0.0519343218011694,True
urban,aqua,585,5671471,0.0001031478429493865,False
urban,aquamarine,214,5671471,3.7732715198578993e-05,False
urban,auburn,4632,5671471,0.0008167193308402706,True
urban,azure,89096,5671471,0.015709504641741093,True
urban,bar,1277,5671471,0.0002251620434980625,True
urban,beige,52095,5671471,0.009185447655467163,True
urban,blue,39774,5671471,0.007012995393963929,True
urban,brown,130114,5671471,0.022941843482934144,True
urban,cocoa,1412584,5671471,0.24906836339284816,True
urban,coffee,61393,5671471,0.010824881234515702,True
urban,crimson,126,5671471,2.2216458481406322e-05,False
urban,emerald,38,5671471,6.700201764233653e-06,False
urban,foo,180284,5671471,0.03178787302271315,True
urban,gold,7299,5671471,0.0012869677020300378,True
urban,gray,1142,5671471,0.00020135869512512714,True
urban,green,120661,5671471,0.021275080133531493,True
urban,grey,34884,5671471,0.006150785219566493,True
urban,indigo,10653,5671471,0.001878348668273187,True
urban,ivory,283141,5671471,0.04992373230860212,True
urban,lavender,89189,5671471,0.01572590250395356,True
urban,lemon,264955,5671471,0.046717156801119146,True
urban,lilac,192378,5671471,0.03392030039473005,True
urban,maroon,607,5671471,0.00010702690712867967,False
urban,navy,245540,5671471,0.04329388266289293,True
urban,olive,266701,5671471,0.04702501344007578,True
urban,orange,476889,5671471,0.08408559260904269,True
urban,plum,1875,5671471,0.0003306020607352131,True
urban,purple,227183,5671471,0.040057156247470894,True
urban,red,353299,5671471,0.06229406797636804,True
urban,sage,49763,5671471,0.008774266852462086,True
urban,scarlet,14186,5671471,0.002501291111247858,True
urban,sienna,20504,5671471,0.003615287815101232,True
urban,terracotta,439366,5671471,0.07746949600906008,True
urban,yellow,387,5671471,6.823626533574799e-05,False
urban+barren,alabaster,24287,283037,0.08580856919766673,True
urban+barren,amber,30610,283037,0.10814840462554366,True
urban+barren,aqua,258,283037,0.0009115416005681236,False
urban+barren,aquamarine,172,283037,0.000607694400378749,False
urban+barren,auburn,8,283037,2.8264855831569725e-05,False
urban+barren,azure,189,283037,0.0006677572190208347,False
urban+barren,bar,2,283037,7.066213957892431e-06,False
urban+barren,beige,1454,283037,0.005137137547387797,True
urban+barren,blue,412,283037,0.0014556400753258408,False
urban+barren,brown,902,283037,0.0031868624950094865,False
urban+barren,cocoa,67706,283037,0.23921254111653248,True
urban+barren,coffee,350,283037,0.0012365874426311753,False
urban+barren,crimson,19,283037,6.71290325999781e-05,False
urban+barren,emerald,4,283037,1.4132427915784863e-05,False
urban+barren,foo,1090,283037,0.003851086607051375,True
urban+barren,gold,32,283037,0.0001130594233262789,False
urban+barren,gray,232,283037,0.000819680819115522,False
urban+barren,green,8666,283037,0.030617905079547904,True
urban+barren,grey,783,283037,0.002766422764514887,False
urban+barren,indigo,829,283037,0.0029289456855464127,False
urban+barren,ivory,2062,283037,0.007285266590587096,True
urban+barren,lavender,521,283037,0.0018407487360309783,False
urban+barren,lemon,3137,283037,0.011083356592954278,True
urban+barren,lilac,1739,283037,0.0061440730363874685,True
urban+barren,maroon,9,283037,3.179796281051594e-05,False
urban+barren,navy,25905,283037,0.09152513628960171,True
urban+barren,olive,2010,283037,0.007101545027681893,True
urban+barren,orange,48571,283037,0.17160653907439663,True
urban+barren,plum,46,283037,0.0001625229210315259,False
urban+barren,purple,17303,283037,0.061133350056706365,True
urban+barren,red,40311,283037,0.1424230754283009,True
urban+barren,sage,334,283037,0.001180057730968036,False
urban+barren,scarlet,14,283037,4.9463497705247015e-05,False
urban+barren,sienna,261,283037,0.0009221409215049623,False
urban+barren,terracotta,2745,283037,0.009698378657207362,True
urban+barren,yellow,64,283037,0.0002261188466525578,False
urban+crop,alabaster,46071,562410,0.08191710673707793,True
urban+crop,amber,25835,562410,0.04593623868707882,True
urban+crop,aqua,2487,562410,0.004422040859870913,True
urban+crop,aquamarine,5202,562410,0.009249479916786686,True
urban+crop,auburn,174,562410,0.00030938283458686725,False
urban+crop,azure,16062,562410,0.02855923614444978,True
urban+crop,bar,670,562410,0.001191301719386213,False
urban+crop,beige,2975,562410,0.005289735246528334,True
urban+crop,blue,4255,562410,0.007565654949236322,True
urban+crop,brown,81618,562410,0.14512188616845362,True
urban+crop,cocoa,44736,562410,0.07954339360964421,True
urban+crop,coffee,33534,562410,0.059625540086413825,True
urban+crop,crimson,3946,562410,0.007016233708504471,True
urban+crop,emerald,236,562410,0.00041962269518678545,False
urban+crop,foo,18918,562410,0.03363738198111698,True
urban+crop,gold,2231,562410,0.003966856919329315,True
urban+crop,gray,9225,562410,0.016402624419907186,True
urban+crop,green,11671,562410,0.020751764726800733,True
urban+crop,grey,5684,562410,0.010106505929837663,True
urban+crop,indigo,5561,562410,0.009887804270905567,True
urban+crop,ivory,570,562410,0.0010134954926121513,False
urban+crop,lavender,46846,562410,0.08329510499457692,True
urban+crop,lemon,382,562410,0.0006792197862769154,False
urban+crop,lilac,6413,562410,0.011402713323020572,True
urban+crop,maroon,111,562410,0.0001973649117192084,False
urban+crop,navy,10789,562410,0.01918351380665351,True
urban+crop,olive,17983,562410,0.0319748937607795,True
urban+crop,orange,29597,562410,0.05262530893831902,True
urban+crop,plum,521,562410,0.0009263704414928611,False
urban+crop,purple,21019,562410,0.03737309080564001,True
urban+crop,red,31281,562410,0.055619565797194216,True
urban+crop,sage,21834,562410,0.038822211553848615,True
urban+crop,scarlet,1153,562410,0.0020501057947049308,True
urban+crop,sienna,9314,562410,0.0165608719617361,True
urban+crop,tan,114,562410,0.00020269909852243026,False
urban+crop,terracotta,37860,562410,0.06731743745665973,True
urban+crop,verde,1859,562410,0.0033054177557298057,True
urban+crop,yellow,3673,562410,0.0065308227094112836,True
urban+forest,alabaster,67961,1188645,0.0571751868724472,True
