fips,lc_type,n_county,n_pool,num_neighbors,kl_div,l1_distance,top_color,top_contrib
6001,forest,10026,64337,6,0.9033921949527495,0.3019561987744455,cocoa,0.38694653286509345
6001,grass,34,330,6,0.38551097794621003,0.20969202898550723,cocoa,0.19154632623483908
6001,shrub,2586,11683,6,0.7996259565282077,0.26130568296740686,cocoa,0.2995780064714087
6001,urban,277359,1118178,6,0.4246330781387927,0.17234579518633555,cocoa,0.17726068678113052
6001,urban+barren,590,2108,6,0.6217218448604301,0.2165619935771484,cocoa,0.27565819998824953
6001,urban+crop,98,121143,6,2.725275207691581,0.30963223704745013,cocoa,0.78437803914944
6001,urban+forest,29114,300099,6,1.0273611091645332,0.31125575167042174,cocoa,0.5249792588707829
6001,urban+grass,68720,211582,6,0.5789416932996848,0.2184362610268857,cocoa,0.19423104312285425
6001,urban+other,32,37,6,0.038438885542730075,0.01857142857142857,cocoa,0.006899287148695143
6001,urban+shrub,4744,18338,6,0.5457674114450055,0.21060414070905498,cocoa,0.1724543015165737
6003,forest,422,64817,5,2.6100210902499166,0.3937827025505056,tan,1.6728932317494314
6003,shrub,20,3695,5,0.6595568706866282,0.177272601309846,tan,0.4798176291350303
6003,urban+forest,16,34791,5,0.8515672756820956,0.16309179345011554,tan,0.6479272481356447
6003,urban+shrub,9,1902,5,0.34621279291368934,0.08649374862908532,tan,0.20516342352332556
6005,crop,27,4834,5,1.1956709921244175,0.26626089427813565,coffee,0.73054766052977
6005,forest,4771,57405,5,2.135585431404527,0.3988336995013748,coffee,1.2304969007685627
6005,grass,20,211,5,0.46648677988150833,0.227219221714444,bar,0.12560430051019728
6005,shrub,866,8205,5,1.6985578363313452,0.3678153708322106,coffee,0.8973191709391878
6005,urban+forest,2285,101155,5,2.953458731407306,0.4071265850916857,coffee,1.4434952615383199
6005,urban+grass,1884,34034,5,1.9172856468287507,0.35667193045809337,coffee,0.761410404596806
6005,urban+shrub,424,8410,5,1.9672813912962466,0.35453023538961037,coffee,0.7422557869133937
6007,crop,312,2102,6,0.9850054947526427,0.265954606141522,brown,0.6311331723741641
6007,forest,14031,25571,6,0.4358951818017464,0.17261120497807253,brown,0.2584652224660057
6007,grass,47,238,6,0.6503545370231467,0.19944586530264277,brown,0.2216940440897569
6007,shrub,1480,6129,6,1.1138279445335804,0.33648320045941327,brown,0.5189869401674477
6007,urban+crop,2438,43711,6,1.7635653572036574,0.41934180743425065,brown,0.6066091120766839
6007,urban+forest,26569,35117,6,0.2141304317975956,0.10627147624833037,brown,0.10156528022363985
6007,urban+grass,7860,17136,6,0.648187625830422,0.2554354440450317,brown,0.1850008153829775
6007,urban+shrub,521,2654,6,1.0991361098261945,0.3137664238039165,brown,0.41617129196101765
6009,forest,8640,35256,5,0.6503214394406832,0.2225418687940145,gray,0.16406729415519505
6009,grass,15,199,5,0.45439836685112267,0.13271236366531328,gray,0.14129888939462354
6009,shrub,1981,5206,5,0.7811931846655813,0.2691154569348625,cocoa,0.3362226058031382
6009,urban+forest,2935,62259,5,2.2598496704121103,0.46395392672669583,cocoa,0.6441643410284603
6009,urban+grass,1580,18458,5,2.333020864167444,0.49562966342102893,cocoa,0.4788403265052325
6009,urban+shrub,1065,3754,5,1.1422831211757751,0.37353152698241465,cocoa,0.34745548084156663
6011,crop,338,2261,5,1.141792687441313,0.41708640667080044,ivory,0.474161909797432
6011,forest,354,24952,5,2.8410411943452476,0.4495798319327731,beige,2.0537595121205587
6011,grass,4,230,5,0.26475962317535545,0.06023454157782516,beige,0.13237981158767773
6011,shrub,125,3905,5,2.0448885842870728,0.3450737425491163,beige,1.255526299400222
6011,urban+crop,3544,61149,5,1.7882875578497566,0.4378347926768729,beige,0.5990563443333952
6011,urban+forest,794,44469,5,2.5432617567538016,0.4749913340122815,beige,1.486884567545967
6011,urban+grass,6,14866,5,0.7739935762547818,0.09541062801932369,aquamarine,0.264781603561962
6011,urban+shrub,97,2151,5,1.4061898670666733,0.3052535404294198,beige,0.7606994156369478
6013,crop,916,6435,7,0.3658168045879846,0.16281272863476443,blue,0.1485221333807071
6013,forest,20558,91459,7,0.5957447458618024,0.25735590522997853,brown,0.2356507498268627
6013,grass,125,921,7,0.4085069564823296,0.17318653761267172,blue,0.17395247843697434
6013,other,4,4,7,0.0,0.0,brown,0.0
6013,shrub,5133,26113,7,0.5404802354103783,0.21464112137931574,blue,0.25483035142360405
6013,urban,103657,929191,7,1.3155399867058133,0.4090974700174811,brown,0.5920795227438762
6013,urban+barren,182,2117,7,0.8719023173882525,0.26532377135625396,brown,0.35293552821429824
6013,urban+crop,10754,139931,7,0.4748926541750587,0.1648983708698052,blue,0.2538395426525043
6013,urban+forest,51633,251299,7,0.7087560011585249,0.26667671425014416,brown,0.2981142666276717
6013,urban+grass,92138,359044,7,0.4139282959847557,0.21988602950556957,blue,0.16400650237862563
6013,urban+other,5,37,7,0.0905585112767264,0.03472868217054263,brown,0.06468465091194743
6013,urban+shrub,5612,23472,7,0.5309666271594521,0.21031630298536116,brown,0.1925674213545397
6015,forest,3765,21049,2,1.0614121003063142,0.27295620546315885,verde,0.5792128133525274
6015,urban+forest,3056,31343,2,1.3989792526779325,0.28791321260912267,verde,0.4769754421924762
6017,forest,34904,72577,4,0.3078205857726553,0.1323410688107645,brown,0.10494734791517389
6017,shrub,148,6872,4,1.0185170371823515,0.2480704293294742,brown,0.41864590139978053
6017,urban+forest,22667,105895,4,0.7148085579996855,0.2617383751301937,brown,0.2559330177112348
6017,urban+grass,1305,44069,4,0.961777264279179,0.24847528182370965,foo,0.27819303523807304
6017,urban+shrub,145,9209,4,0.9681995655168315,0.2214187321718874,indigo,0.4019356563968562
6019,barren,501,946,8,0.48779055280854977,0.20297298520295037,cocoa,0.3171939670952886
6019,crop,2760,13812,8,0.8505227283604052,0.2913596096231707,cocoa,0.41267587890311747
6019,forest,3418,33275,8,1.5561043005905202,0.37967900436627455,cocoa,1.2618591195291537
6019,grass,375,1154,8,0.7522828333929061,0.2454641110226368,cocoa,0.31127166695063296
6019,shrub,2643,10519,8,1.027317374700835,0.3232336160457801,cocoa,0.7090324750217072
6019,urban,175853,182465,8,0.02402996886258964,0.015042824196393361,cocoa,0.008697934230991933
6019,urban+barren,12114,16052,8,0.21937165128587105,0.104952837908555,cocoa,0.06849545491473417
6019,urban+crop,28180,233155,8,1.1241726743284495,0.33743655467425115,cocoa,0.26819195146457925
6019,urban+forest,2510,60220,8,1.9363417211006708,0.37505582353806427,cocoa,1.2347258167277348
6019,urban+grass,10590,49657,8,0.9558064055253125,0.296131264280042,cocoa,0.3708008805765221
6019,urban+shrub,2572,8383,8,0.7765675807225554,0.26371844062531136,cocoa,0.2252785306592974
6021,crop,243,1004,5,0.7760556991785134,0.2543015416561362,coffee,0.339643736406129
6021,forest,475,35713,5,2.144635201112816,0.32613924347758805,green,1.5801462297199529
6021,grass,35,380,5,0.6406614622994945,0.19330471259094184,green,0.16733087588540488
6021,shrub,547,5341,5,1.4007504925837613,0.3667634342480968,coffee,0.5961888347943222
6021,urban+crop,2214,8235,5,0.8891703417516309,0.2705866942024377,coffee,0.35583658932638246
6021,urban+forest,995,53949,5,1.8949002389545897,0.31929506495692705,green,0.8349159602142551
6021,urban+grass,2177,19661,5,1.374145144715241,0.3235158320076061,coffee,0.3733115840154484
6021,urban+shrub,184,1921,5,1.1830580354569986,0.29481740546059076,coffee,0.3835877422054683
6023,forest,12752,31850,4,0.23242788168629802,0.10195772184663522,coffee,0.09737302932543053
6023,shrub,176,1575,4,1.2644505670056456,0.3177700459467759,coffee,0.8872348408024093
6023,urban,61,61,4,0.0,0.0,bar,0.0
6023,urban+barren,16,16,4,0.0,0.0,bar,0.0
6023,urban+forest,22891,42342,4,0.16329058085540424,0.08529715352711494,coffee,0.07986238459073666
6023,urban+grass,49,1370,4,1.410759084211371,0.25925744514106586,coffee,0.576003603737256
6023,urban+shrub,213,590,4,0.6466078308382703,0.2486518892582536,coffee,0.3324897915841185
6025,barren,1823,9375,2,0.8702189773001582,0.28017744789481064,gray,0.17943117323504768
6025,crop,2391,4154,2,0.3442209750680723,0.1697327183617799,gray,0.1669221221366975
6025,forest,48,30438,2,1.0444170033638338,0.26919390629912365,aquamarine,0.3412992715894995
6025,shrub,21,32984,2,0.8619667502993227,0.23117716078341197,gray,0.4289757180397328
6025,urban,3166,890951,2,2.0631148495740463,0.4023130080523839,gray,0.5726297906111388
6025,urban+barren,1694,158557,2,2.400133032252253,0.38778466902673864,gray,0.4903062764837892
6025,urban+crop,26927,31879,2,0.09700890182048001,0.061624569628642475,gray,0.01952035037559241
6025,urban+forest,48,146336,2,0.8881894830828321,0.22686318672047803,aquamarine,0.34602664990025367
6025,urban+shrub,65,131178,2,1.66701788508459,0.23268063597501132,gray,0.5553297950327423
6027,barren,351,13624,5,2.6694808182849923,0.39490044064203,beige,1.2861721331030629
6027,crop,2,8392,5,0.4945207488773801,0.049644128113879006,beige,0.24726037443869006
6027,forest,259,46896,5,2.0589060905650878,0.36417365369724,olive,0.6518938744632037
6027,grass,255,6800,5,2.402075192063087,0.4111352739708934,beige,0.9779799268816725
6027,shrub,481,24420,5,2.842639230395279,0.4164944552818397,beige,1.3304065110809686
6027,urban+barren,3191,106656,5,2.788606397056666,0.41096850619470693,beige,1.0489391257997946
6027,urban+crop,23,113719,5,2.7490720872459917,0.2135514053035396,beige,0.8642069190894438
6027,urban+forest,272,56428,5,2.051032965387293,0.41282324618982813,beige,0.9687854255668117
6027,urban+grass,1498,98907,5,3.2501791514289167,0.40710993165394915,beige,1.1022293607780835
6027,urban+shrub,396,38424,5,3.124238038312186,0.38560718377370257,beige,1.1826694801629813
6029,barren,1087,13441,8,0.08346830550490589,0.11357054183050176,alabaster,0.08593310911169698
6029,crop,1819,8528,8,0.7232947541728527,0.2344378239048795,cocoa,0.3024767256678558
6029,forest,3869,77442,8,0.4777036717984524,0.19268259523598413,cocoa,0.23190912838371716
6029,grass,1389,10583,8,0.37815486039818674,0.1474833643625067,grey,0.06504809697702062
6029,shrub,7233,44279,8,0.5506888585134989,0.21359334623569326,cocoa,0.16119130338677326
6029,urban,135535,2443019,8,1.119497615956277,0.32934570821900067,red,0.27766528542752195
6029,urban+barren,13965,103529,8,0.09563178713458072,0.06592661860967253,purple,0.036653611566609734
6029,urban+crop,21169,145946,8,1.1187349162580464,0.3262885053479132,orange,0.3339229315748013
6029,urban+forest,12684,250124,8,1.1118613187125077,0.3210003967107039,orange,0.2960971004034865
6029,urban+grass,34108,385850,8,1.079632760002785,0.32306625679043033,orange,0.32764476163693096
6029,urban+shrub,4588,99607,8,0.7305123287684474,0.2650192717220061,orange,0.1771378239367321
6031,barren,7,1595,5,0.3590268724404413,0.2692726406749677,foo,0.15962273792000647
6031,crop,1609,11813,5,1.1997174627125176,0.3454195760074354,grey,0.4736260545814171
6031,forest,251,32783,5,2.531848753820666,0.37966962244296915,olive,1.3682977376549226
6031,grass,10,2465,5,0.041742822565942375,0.10193601012118791,grey,0.1221149119972002
6031,shrub,131,20794,5,2.146370506339657,0.2970432947945355,aquamarine,0.5412579276427173
6031,urban+barren,254,26612,5,2.5391589197928752,0.32519571307409595,foo,0.5905273675793176
6031,urban+crop,29582,189215,5,1.4058687222406865,0.4189427597202382,cocoa,0.24002923769706588
6031,urban+forest,232,67825,5,2.4619191542425116,0.38992283473075656,olive,0.7236387744782379
6031,urban+grass,1827,122093,5,2.4141039173043963,0.4604996616936375,foo,0.4083610862278636
6031,urban+shrub,181,14266,5,1.9274641581874876,0.33691792314057184,grey,0.3913021322959901
6033,crop,14,1633,6,0.3094811205736545,0.14229158035262163,lavender,0.11559211968580037
6033,forest,8813,47241,6,0.826321492184383,0.36595765845771105,coffee,0.4072925739451666
6033,grass,142,277,6,0.3479188488891245,0.1484126984126984,coffee,0.1270438766338062
6033,shrub,872,11160,6,1.7623998096962126,0.4411639441108989,coffee,0.9240732729291763
6033,urban+crop,4,37423,6,0.20219162023450948,0.04863248254375026,coffee,0.20219162023450948
6033,urban+forest,13667,78278,6,0.9449963083499255,0.3544147757020041,coffee,0.4719146128991777
6033,urban+grass,3016,94668,6,2.3605298385354962,0.48953222084003367,coffee,0.9145386520994475
6033,urban+shrub,333,4453,6,1.4864257712970768,0.33241385436341386,coffee,0.6208055614226552
6035,crop,44,188,4,0.3125998369194442,0.11293977984027628,coffee,0.21498426417229702
6035,forest,1173,22827,4,0.7725092322097875,0.31816165794164325,coffee,0.5715197545302376
6035,grass,253,321,4,0.10222083837373112,0.06901090275584146,coffee,0.059175010130503386
6035,shrub,1234,3679,4,0.7548642986674399,0.2804040334820635,coffee,0.5280993364460047
6035,urban+crop,14,177,4,0.3090829530468477,0.1445438282647585,coffee,0.13558942087377207
6035,urban+forest,2124,37153,4,1.136877975426997,0.3328331837318226,coffee,0.6787386315237217
6035,urban+grass,1972,6489,4,0.7542401454666053,0.2782649873049339,coffee,0.3338855208273381
6035,urban+shrub,577,1282,4,0.46654674722120254,0.1909737620103474,coffee,0.24282644363855574
6037,barren,44,13181,4,1.4639244997662997,0.2627749414645216,olive,0.422489253583346
6037,crop,2,2200,4,0.11310097440745807,0.145218945487042,ivory,0.20122292173789674
6037,forest,13613,62382,4,0.8743345570250386,0.26825494496848723,olive,0.4506813025330721
6037,grass,2109,9611,4,0.9435542629028018,0.2770968010228416,ivory,0.4451652715389191
6037,shrub,9426,33665,4,0.6951419790409292,0.2370836564511403,ivory,0.19164105947358911
6037,urban,1891556,3135600,4,0.3457462921927443,0.16142806032854595,terracotta,0.07487160937919964
6037,urban+barren,7664,105242,4,1.7941820702415594,0.4027851598665013,terracotta,0.38607150352922626
6037,urban+crop,47,28636,4,1.7814247025453698,0.20846001091376076,foo,0.3424173418421116
6037,urban+forest,120743,221532,4,0.38575387123239335,0.17647498449819385,olive,0.14494427601208634
6037,urban+grass,107483,301842,4,0.7619706223811258,0.3426256272379488,cocoa,0.14893501017778416
6037,urban+other,125,301,4,0.437849947866195,0.15723799699585572,terracotta,0.094338945018696
6037,urban+shrub,54292,101453,4,0.4402785575752298,0.19454193351689172,terracotta,0.10988086198336872
6039,crop,496,6650,5,0.49031379256311736,0.2256431105854524,gray,0.23086517921797675
6039,forest,6445,29232,5,0.8802964254432321,0.261830523508937,coffee,0.5994906874018681
6039,grass,12,688,5,0.06732399443428932,0.05234159779614325,gray,0.07405666522975757
6039,shrub,1463,6460,5,0.6783175116702124,0.25873296944337304,coffee,0.402587446024508
6039,urban+crop,15153,94411,5,0.3856647851851271,0.15674292190416209,scarlet,0.13881705057913776
6039,urban+forest,6584,21619,5,0.4863290694476141,0.18730099297932246,coffee,0.216020517343173
6039,urban+grass,2236,16997,5,0.938901914327569,0.2795457203197204,coffee,0.27107629170722386
