fips,num_anomalies,avg_divergence
6001,0.0,0.4304318639762811
6003,3.0,0.7243305582570736
6005,1.0,0.6641655947541066
6007,0.0,0.5448149161834799
6009,0.0,0.6276322636362367
6011,5.0,0.7152577720029999
6013,1.0,0.5312572671569001
6015,0.0,0.6563083824511085
6017,0.0,0.5204180799721987
6019,0.0,0.41882717701498196
6021,0.0,0.6339715253663067
6023,3.0,0.6857187684256795
6025,0.0,0.6083201448000983
6027,5.0,0.7064577160781111
6029,0.0,0.4061658272983926
6031,0.0,0.6244599974146064
6033,2.0,0.6725321069321019
6035,0.0,0.6529377693059158
6037,1.0,0.5552392976343249
6039,2.0,0.6629241185578181
6041,1.0,0.6721017038023139
6043,4.0,0.7301713991779757
6045,0.0,0.6076189103313503
6047,0.0,0.6496347593085194
6049,5.0,0.7110383314852015
6051,4.0,0.6989102922189834
6053,0.0,0.552969860343438
6055,1.0,0.6420668513441797
6057,1.0,0.6694643583523462
6059,0.0,0.4079220536701632
6061,1.0,0.555154977510677
6063,1.0,0.6951953542398692
6065,0.0,0.40718795675927333
6067,0.0,0.4329748561764525
6069,0.0,0.6173361685602978
6071,0.0,0.4073362782734733
6073,0.0,0.5491692665057277
6075,1.0,0.6723082133600463
6077,1.0,0.543821101622602
6079,0.0,0.51496765296171
6081,0.0,0.6016048455688927
6083,0.0,0.5177156015156835
6085,0.0,0.4347658273869591
6087,0.0,0.6173722794649703
6089,0.0,0.5431870096439875
6091,2.0,0.6986534713515354
6093,0.0,0.6255532678973432
6095,0.0,0.5188946396666757
6097,0.0,0.5150112798431423
6099,0.0,0.5539773462846147
6101,0.0,0.6109028422243429
6103,0.0,0.6199889697813838
6105,0.0,0.6702918825903504
6107,1.0,0.5516294257061995
6109,0.0,0.616579940822314
6111,1.0,0.5569736019895856
6113,0.0,0.6232643078759174
6115,0.0,0.6462981184701756
