fips,lc_type,clr,y_county,y_pool,p_county,p_pool,contrib,abs_diff
6001,forest,alabaster,891,6733,0.08863275039745629,0.10460582524271844,-0.014686252468079666,0.015973074845262156
6001,forest,amber,579,1344,0.05763116057233704,0.020893203883495144,0.058474850249165114,0.036737956688841895
6001,forest,cocoa,3656,8064,0.3633744038155803,0.12528155339805824,0.38694653286509345,0.23809285041752204
6001,forest,green,1843,7203,0.18322734499205087,0.11190679611650485,0.09034232333316382,0.07132054887554602
6001,forest,grey,1,26,0.0001987281399046105,0.00041941747572815533,-0.00014843581606092374,0.00022068933582354482
6001,forest,indigo,1,1550,0.0001987281399046105,0.024093203883495146,-0.0009534474013495188,0.023894475743590535
6001,forest,navy,1063,2048,0.10572337042925278,0.03182912621359223,0.1269150047945717,0.07389424421566054
6001,forest,orange,1213,2046,0.12062798092209857,0.03179805825242719,0.16083401615764498,0.08882992266967138
6001,forest,red,779,1451,0.07750397456279809,0.022555339805825244,0.09566760323860045,0.05494863475697284
6001,grass,alabaster,9,101,0.1388888888888889,0.27717391304347827,-0.09596818071352081,0.13828502415458938
6001,grass,cocoa,12,22,0.18055555555555555,0.0625,0.19154632623483908,0.11805555555555555
6001,grass,green,3,3,0.05555555555555555,0.010869565217391304,0.0906342677307153,0.04468599033816425
6001,grass,grey,1,8,0.027777777777777776,0.024456521739130436,0.0035372061771278187,0.0033212560386473404
6001,grass,navy,3,5,0.05555555555555555,0.016304347826086956,0.06810842839137285,0.03925120772946859
6001,grass,orange,3,6,0.05555555555555555,0.019021739130434784,0.05954450173430293,0.03653381642512077
6001,grass,red,3,5,0.05555555555555555,0.016304347826086956,0.06810842839137285,0.03925120772946859
6001,shrub,alabaster,408,1633,0.1558689024390244,0.1394079003497995,0.01739670188314032,0.016461002089224908
6001,shrub,amber,182,271,0.06974085365853659,0.02320621107414043,0.07674048650817313,0.04653464258439616
6001,shrub,cocoa,896,1667,0.34184451219512196,0.14230867673406705,0.2995780064714087,0.1995358354610549
6001,shrub,green,227,390,0.08689024390243902,0.03335892841907687,0.08318179458812759,0.053531315483362145
6001,shrub,grey,13,23,0.005335365853658537,0.002047606859482979,0.005109603757992071,0.003287758994175558
6001,shrub,indigo,1,8,0.0007621951219512195,0.0007678525723061172,-5.636557253866849e-06,5.657450354897638e-06
6001,shrub,lemon,1,1,0.0007621951219512195,0.00017063390495691494,0.0011407638976060979,0.0005915612169943046
6001,shrub,navy,278,442,0.10632621951219512,0.03779540994795666,0.10997578676695316,0.06853080956423846
6001,shrub,orange,282,499,0.10785060975609756,0.042658476239228735,0.10003370895774001,0.06519213351686882
6001,shrub,purple,19,53,0.007621951219512195,0.004607115433836704,0.0038371224134826003,0.0030148357856754912
6001,shrub,red,279,477,0.10670731707317073,0.04078150328470267,0.1026376178408378,0.06592581378846807
6001,urban,alabaster,23825,96244,0.08589133984866455,0.08607013314064546,-0.00017860745981050435,0.0001787932919809082
6001,urban,amber,23832,81646,0.08591657444024269,0.07301541026062944,0.013979162991969347,0.012901164179613248
6001,urban,cocoa,77286,164900,0.27861512561419194,0.14746793106161957,0.17726068678113052,0.13114719455257237
6001,urban,green,18968,44947,0.06838213823509266,0.04019616961302647,0.036334161622515966,0.028185968622066196
6001,urban,grey,735,17903,0.002653237057358227,0.016011217868461908,-0.004769217934779561,0.013357980811103681
6001,urban,indigo,780,6525,0.0028154594317890964,0.00583608175880152,-0.0020522846213205724,0.0030206223270124234
6001,urban,lemon,728,1754,0.0026280024657800915,0.0015694642180043928,0.0013547083083169217,0.0010585382477756988
6001,urban,navy,29057,69668,0.10475239458249368,0.06230370518754874,0.054427094266890866,0.042448689394944936
6001,urban,orange,42496,132766,0.15319920547085947,0.11873108594403943,0.03904709439228996,0.03446811952682004
6001,urban,purple,29834,51322,0.1075534342476667,0.04589721484936721,0.09159071387069201,0.06165621939829949
6001,urban,red,29818,102011,0.1074957551812024,0.09122745516072028,0.017639565920897726,0.016268300020482115
6001,urban+barren,alabaster,53,183,0.08598726114649681,0.08574091332712022,0.0002467013799325308,0.00024634781937658834
6001,urban+barren,amber,50,134,0.08121019108280254,0.06290773532152842,0.02073877732711054,0.018302455761274122
6001,urban+barren,cocoa,184,247,0.2945859872611465,0.11556383970177074,0.27565819998824953,0.17902214755937573
