h3,total_exposure,exposure_bin
8929a40157bffff,128,High (50+)
8928346369bffff,128,High (50+)
892834735b3ffff,128,High (50+)
8929a1d61afffff,128,High (50+)
8929a18f443ffff,128,High (50+)
8929a1d0eafffff,128,High (50+)
892832bb207ffff,128,High (50+)
8929a004b77ffff,128,High (50+)
89283285b83ffff,128,High (50+)
8929a0b2b47ffff,128,High (50+)
8928309b313ffff,128,High (50+)
8929a0b756bffff,128,High (50+)
8929a1d6a63ffff,128,High (50+)
8929a096a33ffff,128,High (50+)
8929ab836b3ffff,128,High (50+)
8929a0b7587ffff,128,High (50+)
89291369e87ffff,128,High (50+)
89283285b03ffff,128,High (50+)
892832b154fffff,128,High (50+)
8929a418517ffff,128,High (50+)
892830133d3ffff,128,High (50+)
892830d34a3ffff,128,High (50+)
89283472b6fffff,128,High (50+)
892834440b3ffff,128,High (50+)
8929a0b0d13ffff,128,High (50+)
892832ab6afffff,128,High (50+)
8929a4c430fffff,128,High (50+)
8929a0ad8c3ffff,128,High (50+)
8929a08831bffff,128,High (50+)
89291369e9bffff,128,High (50+)
89283621a73ffff,128,High (50+)
8929a56921bffff,128,High (50+)
892832b06d3ffff,128,High (50+)
8929ab83127ffff,128,High (50+)
892834602cfffff,128,High (50+)
8929a0a6907ffff,128,High (50+)
8929a0a2d83ffff,128,High (50+)
8929a569237ffff,128,High (50+)
8929a3c508fffff,128,High (50+)
8929a0b73afffff,128,High (50+)
8929a56c97bffff,128,High (50+)
8929a0a6473ffff,128,High (50+)
8929a11542fffff,128,High (50+)
8929a1d442fffff,128,High (50+)
8929a0b492fffff,128,High (50+)
8929a0adc77ffff,128,High (50+)
8929a56c9d3ffff,128,High (50+)
8929ab8316bffff,128,High (50+)
8929aea496fffff,128,High (50+)
892834cc49bffff,128,High (50+)
8929a0a058bffff,128,High (50+)
8929a0a5827ffff,128,High (50+)
8929a560e47ffff,128,High (50+)
8929a45602fffff,128,High (50+)
8928346c9dbffff,128,High (50+)
8928344630fffff,128,High (50+)
8929a0ad62bffff,128,High (50+)
892836231abffff,128,High (50+)
8928344698bffff,128,High (50+)
89283008547ffff,128,High (50+)
8929a5694a3ffff,128,High (50+)
8928362f1cbffff,128,High (50+)
8929a4ce1a3ffff,128,High (50+)
8929a41a613ffff,128,High (50+)
8929a0329a7ffff,128,High (50+)
8929a4ce16fffff,128,High (50+)
89283466913ffff,128,High (50+)
8929aeb142bffff,128,High (50+)
8928320e537ffff,128,High (50+)
8929a1bb0dbffff,128,High (50+)
8929a56524bffff,128,High (50+)
8928309b63bffff,128,High (50+)
8929a56d23bffff,128,High (50+)
8929a1bb18bffff,128,High (50+)
8929a1842d7ffff,128,High (50+)
8929a418233ffff,128,High (50+)
8928344480bffff,128,High (50+)
8929a56957bffff,128,High (50+)
892834d2c8fffff,128,High (50+)
8929a401523ffff,128,High (50+)
8929a0b4a4fffff,128,High (50+)
8929a845c53ffff,128,High (50+)
8928309a26bffff,128,High (50+)
8929a620373ffff,128,High (50+)
8929a1b6c4bffff,128,High (50+)
8929a0841c3ffff,128,High (50+)
8929a1d008fffff,128,High (50+)
892830c185bffff,128,High (50+)
892832b3587ffff,128,High (50+)
89283474257ffff,128,High (50+)
8929a0b6d47ffff,128,High (50+)
8929a56d343ffff,128,High (50+)
8929a0b6d4fffff,128,High (50+)
8929a54b413ffff,128,High (50+)
8929a1bb087ffff,128,High (50+)
8929a1d722fffff,128,High (50+)
8929a0a2a0bffff,128,High (50+)
8928322662fffff,128,High (50+)
892832869bbffff,128,High (50+)
8929a470b27ffff,128,High (50+)
8929a1d4d13ffff,128,High (50+)
892832ab12fffff,128,High (50+)
8929a0c5667ffff,128,High (50+)
8928309b00fffff,128,High (50+)
8929a0b4a6fffff,128,High (50+)
8929a18cd93ffff,128,High (50+)
8929a4c4383ffff,128,High (50+)
8929a579153ffff,128,High (50+)
8928308a593ffff,128,High (50+)
8929a56e80fffff,128,High (50+)
892834664b3ffff,128,High (50+)
8929a56d407ffff,128,High (50+)
8929a56e833ffff,128,High (50+)
8929a18b02fffff,128,High (50+)
8929a0b6eafffff,128,High (50+)
892830084b3ffff,128,High (50+)
8928362332fffff,128,High (50+)
8929a41b50fffff,128,High (50+)
8929a19b1dbffff,128,High (50+)
8929a030013ffff,128,High (50+)
8928368c527ffff,128,High (50+)
8929a0a6d7bffff,128,High (50+)
8928308ddc7ffff,128,High (50+)
89283092863ffff,128,High (50+)
8929a1d6467ffff,128,High (50+)
8929a016943ffff,128,High (50+)
8929ab82257ffff,128,High (50+)
892834dacd3ffff,128,High (50+)
8929a620347ffff,128,High (50+)
8929a456133ffff,128,High (50+)
8929a568d6bffff,128,High (50+)
8929a568e2fffff,128,High (50+)
8929137b497ffff,128,High (50+)
892834708cfffff,128,High (50+)
8929aeb2573ffff,128,High (50+)
8928308a9bbffff,128,High (50+)
8929a0a2c67ffff,128,High (50+)
8929a1c328bffff,128,High (50+)
8929a0adcbbffff,128,High (50+)
8929a1c3497ffff,128,High (50+)
892834da217ffff,128,High (50+)
8929a0b70d7ffff,128,High (50+)
892836222d7ffff,128,High (50+)
89283466d63ffff,128,High (50+)
892834463abffff,128,High (50+)
8929aeb2463ffff,128,High (50+)
8929137a653ffff,128,High (50+)
8929a855c0bffff,128,High (50+)
8929a1d188bffff,128,High (50+)
8929a19aacfffff,128,High (50+)
892830c618bffff,128,High (50+)
892834656a7ffff,128,High (50+)
8929a560907ffff,128,High (50+)
8929a56e1d3ffff,128,High (50+)
8929a1d003bffff,128,High (50+)
8929a0b49d7ffff,128,High (50+)
8929a0b0d83ffff,128,High (50+)
8928309b6bbffff,128,High (50+)
8929a474873ffff,128,High (50+)
8929a1d192fffff,128,High (50+)
8928347a527ffff,128,High (50+)
8929a54c057ffff,128,High (50+)
8929a408027ffff,128,High (50+)
89283631b13ffff,128,High (50+)
8929a56ea2fffff,128,High (50+)
892834749b3ffff,128,High (50+)
8929a47196fffff,128,High (50+)
8929a0a2863ffff,128,High (50+)
8928341107bffff,128,High (50+)
892836336d3ffff,128,High (50+)
8929a4014abffff,128,High (50+)
8929a40a5cbffff,128,High (50+)
8928346e907ffff,128,High (50+)
8929aeb23a7ffff,128,High (50+)
8929ab84abbffff,128,High (50+)
8929a0b70c7ffff,128,High (50+)
8928346cc3bffff,128,High (50+)
89283429c0bffff,128,High (50+)
8929a1845d3ffff,128,High (50+)
8929aeb0537ffff,128,High (50+)
8928347a5bbffff,128,High (50+)
8929a198157ffff,128,High (50+)
8929aeb15c7ffff,128,High (50+)
8929a0c556fffff,128,High (50+)
8929a1d6e5bffff,128,High (50+)
8929a56d8b7ffff,128,High (50+)
892833a209bffff,128,High (50+)
892834d2c43ffff,128,High (50+)
8928308365bffff,128,High (50+)
8928308c443ffff,128,High (50+)
8929a038403ffff,128,High (50+)
8929a0acc43ffff,128,High (50+)
8929a56d1cbffff,128,High (50+)
8929a476397ffff,128,High (50+)
8929a0b4e0fffff,128,High (50+)
892832aa5dbffff,128,High (50+)
8929a5695bbffff,128,High (50+)
892832b0603ffff,128,High (50+)
8929a0b70bbffff,128,High (50+)
89291a6c287ffff,128,High (50+)
8929a1d11d7ffff,128,High (50+)
8929a1daccbffff,128,High (50+)
8929a189313ffff,128,High (50+)
892830c1a47ffff,128,High (50+)
8929a47182fffff,128,High (50+)
89283015667ffff,128,High (50+)
89283099dcbffff,128,High (50+)
8928309b147ffff,128,High (50+)
89283460207ffff,128,High (50+)
892834531afffff,128,High (50+)
8929a0118cbffff,128,High (50+)
8929a1ba467ffff,128,High (50+)
8928308a92bffff,128,High (50+)
8929a56880fffff,128,High (50+)
8929a1d1383ffff,128,High (50+)
8929a199ea3ffff,128,High (50+)
8929a1895cfffff,128,High (50+)
8929a014bafffff,128,High (50+)
8929a4545a3ffff,128,High (50+)
8929a56707bffff,128,High (50+)
8929a56ad73ffff,128,High (50+)
8929a0b647bffff,128,High (50+)
8929a560143ffff,128,High (50+)
8929a0b5d13ffff,128,High (50+)
8929a0a630bffff,128,High (50+)
8929a569d0bffff,128,High (50+)
8929a189623ffff,128,High (50+)
8929a1123c3ffff,128,High (50+)
8929a54d997ffff,128,High (50+)
89291279373ffff,128,High (50+)
8929a41aa37ffff,128,High (50+)
8929a1d1b67ffff,128,High (50+)
892830970d7ffff,128,High (50+)
8929a03a58bffff,128,High (50+)
8929a83b6cfffff,128,High (50+)
8929a1d28cfffff,128,High (50+)
8929a1d1aabffff,128,High (50+)
8928361524fffff,128,High (50+)
8929a475453ffff,128,High (50+)
8929a0b054fffff,128,High (50+)
89283461cabffff,128,High (50+)
8929a562ecbffff,128,High (50+)
8929a579cd7ffff,128,High (50+)
8928341a52fffff,128,High (50+)
892832b9ba7ffff,128,High (50+)
8929a54ceafffff,128,High (50+)
892832b9ab7ffff,128,High (50+)
8928321486fffff,128,High (50+)
8929a0b5cabffff,128,High (50+)
8929a0b4e2bffff,128,High (50+)
8929a54c983ffff,128,High (50+)
8928309804fffff,128,High (50+)
8929a638dabffff,128,High (50+)
8929a142d07ffff,128,High (50+)
8929a579e73ffff,128,High (50+)
8929a1c64afffff,128,High (50+)
8929a54dc47ffff,128,High (50+)
8929a56c15bffff,128,High (50+)
892836af49bffff,128,High (50+)
8929add55c3ffff,128,High (50+)
89283620ec3ffff,128,High (50+)
8929a4545cfffff,128,High (50+)
8929a56014bffff,128,High (50+)
8929a0869a3ffff,128,High (50+)
8929a19923bffff,128,High (50+)
8929a1d850bffff,128,High (50+)
89283611c93ffff,128,High (50+)
8929a439667ffff,128,High (50+)
8929a18a283ffff,128,High (50+)
8929a403213ffff,128,High (50+)
8928361527bffff,128,High (50+)
8929a1d2663ffff,128,High (50+)
8929a561107ffff,128,High (50+)
8929a1c4693ffff,128,High (50+)
8929a1da523ffff,128,High (50+)
8929a1da51bffff,128,High (50+)
8929a014b37ffff,128,High (50+)
8929a14601bffff,128,High (50+)
8929a54db1bffff,128,High (50+)
8929a00238fffff,128,High (50+)
8929a1da8b3ffff,128,High (50+)
8929a0af43bffff,128,High (50+)
89283037547ffff,128,High (50+)
892832a31b3ffff,128,High (50+)
8929a1d40d3ffff,128,High (50+)
8929a41a877ffff,128,High (50+)
8929a579bcbffff,128,High (50+)
8929a568193ffff,128,High (50+)
8929a155307ffff,128,High (50+)
8929a086917ffff,128,High (50+)
89283475c0fffff,128,High (50+)
892836af533ffff,128,High (50+)
8929a1c456bffff,128,High (50+)
8929a112603ffff,128,High (50+)
892832a9057ffff,128,High (50+)
892830baec3ffff,128,High (50+)
89283615ab3ffff,128,High (50+)
892912648a7ffff,128,High (50+)
8929a1983abffff,128,High (50+)
8929a18ab3bffff,128,High (50+)
8929a56a0d7ffff,128,High (50+)
8929a00d497ffff,128,High (50+)
8929a54cb53ffff,128,High (50+)
8929a002937ffff,128,High (50+)
89283046db3ffff,128,High (50+)
8929ac93247ffff,128,High (50+)
8929a0b5b33ffff,128,High (50+)
8929a57954bffff,128,High (50+)
8929ac4d6afffff,128,High (50+)
89283095e17ffff,128,High (50+)
8929a07b643ffff,128,High (50+)
8929a1da883ffff,128,High (50+)
892834723bbffff,128,High (50+)
8929a189d17ffff,128,High (50+)
89283035c03ffff,128,High (50+)
8929a00f613ffff,128,High (50+)
8929a569ac7ffff,128,High (50+)
89283035c2bffff,128,High (50+)
8929a54c86bffff,128,High (50+)
8929a4c450bffff,128,High (50+)
8929a1d85d3ffff,128,High (50+)
8929124cb83ffff,128,High (50+)
8928347a1a7ffff,128,High (50+)
8929a0b60a3ffff,128,High (50+)
8929a19901bffff,128,High (50+)
8928341a10fffff,128,High (50+)
8929a0af32bffff,128,High (50+)
892833b129bffff,128,High (50+)
8929a1995b3ffff,128,High (50+)
8929a1d34dbffff,128,High (50+)
8929a0b45cfffff,128,High (50+)
89485bb5557ffff,128,High (50+)
89283002ccfffff,128,High (50+)
89485bb54bbffff,128,High (50+)
8929a0b0b6bffff,128,High (50+)
8929a4c5387ffff,128,High (50+)
8929a41a087ffff,128,High (50+)
8929a54c8dbffff,128,High (50+)
8929a0b4077ffff,128,High (50+)
8929a1d9c8bffff,128,High (50+)
8929a1d24abffff,128,High (50+)
8929a960987ffff,128,High (50+)
8929a0b5c3bffff,128,High (50+)
892830cf50bffff,128,High (50+)
8929a54d21bffff,128,High (50+)
8929a109287ffff,128,High (50+)
8928336968bffff,128,High (50+)
89283472803ffff,128,High (50+)
892834d126bffff,128,High (50+)
8929a0a6133ffff,128,High (50+)
8929a0b5c53ffff,128,High (50+)
8929a0a4b17ffff,128,High (50+)
892830994d7ffff,128,High (50+)
8929a40303bffff,128,High (50+)
8929a54dc97ffff,128,High (50+)
8929a0b468fffff,128,High (50+)
892832ba457ffff,128,High (50+)
892834718a3ffff,128,High (50+)
8929a1d9567ffff,128,High (50+)
892830cf5d7ffff,128,High (50+)
8929a1d403bffff,128,High (50+)
8929a1c719bffff,128,High (50+)
8929a0ac07bffff,128,High (50+)
8929a56a3d7ffff,128,High (50+)
8929a0b4193ffff,128,High (50+)
8929a41a09bffff,128,High (50+)
8929a0b6317ffff,128,High (50+)
8929a18f193ffff,128,High (50+)
8929ab98813ffff,128,High (50+)
8929a818c73ffff,128,High (50+)
8929a199663ffff,128,High (50+)
8929124da57ffff,128,High (50+)
8929124c927ffff,128,High (50+)
89283460883ffff,128,High (50+)
89485bb5917ffff,128,High (50+)
8929a54c8d7ffff,128,High (50+)
8928323355bffff,128,High (50+)
8929a1d2467ffff,128,High (50+)
8929a54dd67ffff,128,High (50+)
89283286d0bffff,128,High (50+)
8929a562e13ffff,128,High (50+)
89291264d1bffff,128,High (50+)
8929a0b5c73ffff,128,High (50+)
8929a5602b3ffff,128,High (50+)
8929a476047ffff,128,High (50+)
8929a1da42bffff,128,High (50+)
8929a0b6287ffff,128,High (50+)
8929a569c2bffff,128,High (50+)
8929a1da00fffff,128,High (50+)
8929ab98c9bffff,128,High (50+)
8929a19835bffff,128,High (50+)
89283081003ffff,128,High (50+)
8929a188e7bffff,128,High (50+)
8929a1dac3bffff,128,High (50+)
8929a638e47ffff,128,High (50+)
8929a1d0b3bffff,128,High (50+)
8928347a087ffff,128,High (50+)
8929a188013ffff,128,High (50+)
8929a1d8473ffff,128,High (50+)
8929a1469dbffff,128,High (50+)
8929a1d228fffff,128,High (50+)
892832b8ad3ffff,128,High (50+)
8929a4c4a8bffff,128,High (50+)
8929ab9900bffff,128,High (50+)
8929a0321afffff,128,High (50+)
8929a032067ffff,128,High (50+)
8929a0b0b3bffff,128,High (50+)
89283286d3bffff,128,High (50+)
8928328db37ffff,128,High (50+)
892832a9407ffff,128,High (50+)
8929a0cec2bffff,128,High (50+)
8929ab9a837ffff,128,High (50+)
8929a00c193ffff,128,High (50+)
892832b9953ffff,128,High (50+)
89283097063ffff,128,High (50+)
8929a80d807ffff,128,High (50+)
89283050eabffff,128,High (50+)
8929a1d2ca3ffff,128,High (50+)
8929a4c597bffff,128,High (50+)
8928347211bffff,128,High (50+)
8929a0b6637ffff,128,High (50+)
8929a1d6d67ffff,127,High (50+)
89283429aabffff,127,High (50+)
8929a1d2007ffff,127,High (50+)
8929a1131b3ffff,127,High (50+)
892834732b3ffff,127,High (50+)
8929a155e43ffff,127,High (50+)
8928344693bffff,127,High (50+)
89283473297ffff,127,High (50+)
8929a1db587ffff,127,High (50+)
8929a56933bffff,127,High (50+)
8929a1da47bffff,127,High (50+)
8929a5608b7ffff,127,High (50+)
8929a00d4c7ffff,127,High (50+)
8929a56f01bffff,127,High (50+)
8929a41a54bffff,127,High (50+)
892834da213ffff,127,High (50+)
8929a1889d3ffff,127,High (50+)
8928344692fffff,127,High (50+)
8929a569377ffff,127,High (50+)
8929a63885bffff,127,High (50+)
8929a408993ffff,127,High (50+)
8929a1983dbffff,127,High (50+)
8929a1d5287ffff,127,High (50+)
8929a639903ffff,127,High (50+)
8929a08b403ffff,127,High (50+)
8929a1d114fffff,127,High (50+)
8929a1d6cb7ffff,127,High (50+)
8929a5693c7ffff,127,High (50+)
8928308c273ffff,127,High (50+)
89283606623ffff,127,High (50+)
8929a8464d3ffff,127,High (50+)
8929a5608c3ffff,127,High (50+)
8929a1d6c8bffff,127,High (50+)
892834749abffff,127,High (50+)
892834da207ffff,127,High (50+)
8929a56ac33ffff,127,High (50+)
8929a096b6fffff,127,High (50+)
8929a4ce8b7ffff,127,High (50+)
8929a0b5877ffff,127,High (50+)
8929a4c5997ffff,127,High (50+)
89283610147ffff,127,High (50+)
8929a1d1d13ffff,127,High (50+)
892832a8417ffff,127,High (50+)
8929a0b62b3ffff,127,High (50+)
89283429807ffff,127,High (50+)
8929a561dbbffff,127,High (50+)
892832ab133ffff,127,High (50+)
89283475917ffff,127,High (50+)
8929a4769a3ffff,127,High (50+)
892832ab137ffff,127,High (50+)
8929a568a5bffff,127,High (50+)
89283284937ffff,127,High (50+)
892834714a3ffff,127,High (50+)
8929a470a5bffff,127,High (50+)
8929126982fffff,127,High (50+)
89283470043ffff,127,High (50+)
8929aeb09cbffff,127,High (50+)
8929a56b223ffff,127,High (50+)
8929a1d5003ffff,127,High (50+)
8929a1c04afffff,127,High (50+)
8929a064d0fffff,127,High (50+)
8929a155d17ffff,127,High (50+)
892836c6b07ffff,127,High (50+)
8929a41b0a7ffff,127,High (50+)
8928347018fffff,127,High (50+)
8929a18b32bffff,127,High (50+)
8929a56950fffff,127,High (50+)
8929a18cdc3ffff,127,High (50+)
8929a1d010fffff,127,High (50+)
8929a0b6303ffff,127,High (50+)
8929a638e0bffff,127,High (50+)
89283092667ffff,127,High (50+)
8929a456107ffff,127,High (50+)
8929a1d0133ffff,127,High (50+)
8929a1d828bffff,127,High (50+)
8929a4769afffff,127,High (50+)
8929a8c3673ffff,127,High (50+)
8929a19b2d3ffff,127,High (50+)
8929a56d5c7ffff,127,High (50+)
8929a0041dbffff,127,High (50+)
8929a1d51c3ffff,127,High (50+)
8929a089343ffff,127,High (50+)
8929a845ca3ffff,127,High (50+)
8929a56b00bffff,127,High (50+)
8929a40f35bffff,127,High (50+)
8929a1d3047ffff,127,High (50+)
8929ac6865bffff,127,High (50+)
8929ad13103ffff,127,High (50+)
892834669c3ffff,127,High (50+)
8929a1896afffff,127,High (50+)
8929a004197ffff,127,High (50+)
8929a0af377ffff,127,High (50+)
8929a0af42fffff,127,High (50+)
89283009303ffff,127,High (50+)
892834da0b7ffff,127,High (50+)
892836068cfffff,127,High (50+)
8929a1d6e17ffff,127,High (50+)
8929a0b59a3ffff,127,High (50+)
8929a0b59a7ffff,127,High (50+)
8929a57902fffff,127,High (50+)
8929a56d877ffff,127,High (50+)
89291268397ffff,127,High (50+)
8929a579093ffff,127,High (50+)
8929a19b52bffff,127,High (50+)
892834298c3ffff,127,High (50+)
8929a0af383ffff,127,High (50+)
8929ab98eb3ffff,127,High (50+)
8928341162bffff,127,High (50+)
8929a031527ffff,127,High (50+)
8929ac09cb3ffff,127,High (50+)
892836069bbffff,127,High (50+)
8929a032a9bffff,127,High (50+)
8929a0041cbffff,127,High (50+)
8929a56d64bffff,127,High (50+)
8929124cb0fffff,127,High (50+)
8929a56b04fffff,127,High (50+)
892832b3327ffff,127,High (50+)
8929a56b03bffff,127,High (50+)
892832b152bffff,127,High (50+)
8929a56b037ffff,127,High (50+)
8929a1d8583ffff,127,High (50+)
892832a353bffff,127,High (50+)
8929a1d6dd7ffff,127,High (50+)
8929a18854fffff,127,High (50+)
8929ac48b33ffff,127,High (50+)
892832b1d6fffff,127,High (50+)
8929a00ea43ffff,127,High (50+)
8928362f4c3ffff,127,High (50+)
8929a1d0d13ffff,127,High (50+)
8929a00c63bffff,127,High (50+)
8929a0302d7ffff,127,High (50+)
8928309b5c7ffff,127,High (50+)
8929a0b016bffff,127,High (50+)
8929a54d81bffff,127,High (50+)
8929a142dd3ffff,127,High (50+)
8929a0b43afffff,127,High (50+)
8929124eb03ffff,127,High (50+)
8928341acd3ffff,127,High (50+)
892836c4d57ffff,127,High (50+)
8929a1da017ffff,127,High (50+)
892834cf19bffff,127,High (50+)
8929a0b44d3ffff,127,High (50+)
8928344482bffff,127,High (50+)
8929a0321abffff,127,High (50+)
8928346ca33ffff,127,High (50+)
8928309b637ffff,127,High (50+)
892832b055bffff,127,High (50+)
8929a1442b7ffff,127,High (50+)
89283049223ffff,127,High (50+)
8929a102403ffff,127,High (50+)
8929a00348fffff,127,High (50+)
892832b9c1bffff,127,High (50+)
8929ab9a163ffff,127,High (50+)
8929a1d0dbbffff,127,High (50+)
8929a0d4ac7ffff,127,High (50+)
892836a4db3ffff,127,High (50+)
8928344680fffff,127,High (50+)
8928345228bffff,127,High (50+)
8928344754fffff,127,High (50+)
8929a410a43ffff,127,High (50+)
8929a006557ffff,127,High (50+)
8929a00655bffff,127,High (50+)
8929a40e25bffff,127,High (50+)
8929a198003ffff,127,High (50+)
8929a032113ffff,127,High (50+)
8929a1d0647ffff,127,High (50+)
8929a18d697ffff,127,High (50+)
8929a181973ffff,127,High (50+)
8929a54d8d3ffff,127,High (50+)
89283294b0fffff,127,High (50+)
8929a0a69afffff,127,High (50+)
8928362f483ffff,127,High (50+)
8929124eb93ffff,127,High (50+)
8929ac4d14bffff,127,High (50+)
8929a006a1bffff,127,High (50+)
8928346caa7ffff,127,High (50+)
8928341a667ffff,127,High (50+)
8929a0a6ca7ffff,127,High (50+)
8929a1d0ab3ffff,127,High (50+)
8929a0a8013ffff,127,High (50+)
8929a0a8017ffff,127,High (50+)
8929a56eac7ffff,127,High (50+)
8929a1b612fffff,127,High (50+)
8929a1d08cfffff,127,High (50+)
8928360046fffff,127,High (50+)
892832b9917ffff,127,High (50+)
8929add550fffff,127,High (50+)
8929a1b2c6bffff,127,High (50+)
8929a1883a3ffff,127,High (50+)
8929a18dcc3ffff,127,High (50+)
8929a1c6563ffff,127,High (50+)
8928347222fffff,127,High (50+)
892830c46abffff,127,High (50+)
892830ca43bffff,127,High (50+)
8928347221bffff,127,High (50+)
8929a14430bffff,127,High (50+)
892832b9943ffff,127,High (50+)
8929a56f5a7ffff,127,High (50+)
89283286173ffff,127,High (50+)
8929a187207ffff,127,High (50+)
8929a1d24c7ffff,127,High (50+)
8929a1b29d3ffff,127,High (50+)
8928344480fffff,127,High (50+)
892836023dbffff,127,High (50+)
8929a1d6423ffff,127,High (50+)
8929a568ccbffff,127,High (50+)
8929a0b01dbffff,127,High (50+)
892830ca197ffff,127,High (50+)
892830ca84fffff,127,High (50+)
8928308a96fffff,127,High (50+)
8928346cc2bffff,127,High (50+)
8929add54b3ffff,127,High (50+)
892832b99dbffff,127,High (50+)
89485bb468fffff,127,High (50+)
8928300ec87ffff,127,High (50+)
8929a00ea6fffff,127,High (50+)
8929a094b23ffff,127,High (50+)
892832b064bffff,127,High (50+)
8929a4005cfffff,127,High (50+)
8929a1b28d3ffff,127,High (50+)
8928304956bffff,127,High (50+)
8929a1b5133ffff,127,High (50+)
8929a4004a7ffff,127,High (50+)
8928347216bffff,127,High (50+)
8929a1c2e57ffff,127,High (50+)
8928304962bffff,127,High (50+)
8928340924fffff,127,High (50+)
8929a560d6fffff,127,High (50+)
8929a56e52fffff,127,High (50+)
8928309885bffff,127,High (50+)
89283429b1bffff,127,High (50+)
8929a4088d3ffff,127,High (50+)
8929a409e0bffff,127,High (50+)
8929a18d5a7ffff,127,High (50+)
8929a1d8da3ffff,127,High (50+)
892830c6347ffff,127,High (50+)
8929a56e023ffff,127,High (50+)
89283610c77ffff,127,High (50+)
8929a08690fffff,127,High (50+)
8929a54cb07ffff,127,High (50+)
8929a1d5543ffff,127,High (50+)
8929a18831bffff,127,High (50+)
8929a41b247ffff,127,High (50+)
8929ae94aabffff,127,High (50+)
8929a409ed7ffff,127,High (50+)
8929a0d609bffff,127,High (50+)
8929a0a8667ffff,127,High (50+)
8929a0d6093ffff,127,High (50+)
89283012d13ffff,127,High (50+)
8929a0a9d03ffff,127,High (50+)
8929a56e0bbffff,127,High (50+)
89283444473ffff,127,High (50+)
89283475d8bffff,127,High (50+)
892832b26c7ffff,127,High (50+)
8929a015907ffff,127,High (50+)
8929a03062bffff,127,High (50+)
8929a409d53ffff,127,High (50+)
8929a639c9bffff,127,High (50+)
8929a408973ffff,127,High (50+)
89283475d07ffff,127,High (50+)
89291369acbffff,127,High (50+)
892832b3027ffff,127,High (50+)
8928308f64fffff,127,High (50+)
8929a1131bbffff,127,High (50+)
892832ab6a7ffff,127,High (50+)
8929a0a5bb7ffff,127,High (50+)
892834724cbffff,127,High (50+)
8929a18194bffff,127,High (50+)
89291264d13ffff,127,High (50+)
8929a639d87ffff,127,High (50+)
89283285b0bffff,127,High (50+)
8928346ec17ffff,127,High (50+)
89283474933ffff,127,High (50+)
8929a0a890fffff,127,High (50+)
892834531abffff,127,High (50+)
8928360359bffff,127,High (50+)
8929a578a2fffff,127,High (50+)
8928301086fffff,127,High (50+)
8929a41a9b3ffff,127,High (50+)
89283615e6fffff,127,High (50+)
8929a056007ffff,127,High (50+)
89283444963ffff,127,High (50+)
8929a0ae12fffff,127,High (50+)
8928309754fffff,127,High (50+)
8929a188ccbffff,127,High (50+)
8929a568903ffff,127,High (50+)
89283611927ffff,127,High (50+)
8929a0062cbffff,127,High (50+)
8929ab9abb3ffff,127,High (50+)
8929a0b5b2fffff,127,High (50+)
892811c6b13ffff,127,High (50+)
8929a032237ffff,127,High (50+)
8929a189127ffff,127,High (50+)
8929a1da157ffff,127,High (50+)
892832b1597ffff,127,High (50+)
892836026cfffff,127,High (50+)
8929a0b0087ffff,127,High (50+)
8929ab8167bffff,127,High (50+)
8929a0968d7ffff,127,High (50+)
8928300b56fffff,127,High (50+)
8929a5680afffff,127,High (50+)
89283615257ffff,127,High (50+)
89283409223ffff,127,High (50+)
8929a014ad7ffff,127,High (50+)
892834733c7ffff,127,High (50+)
8929a56ed0fffff,127,High (50+)
8929a0d6027ffff,127,High (50+)
8929a568eafffff,127,High (50+)
8929a401127ffff,127,High (50+)
8929a1c2bd3ffff,127,High (50+)
8929a402277ffff,127,High (50+)
8929a03a41bffff,127,High (50+)
892830c40a7ffff,127,High (50+)
89283615a97ffff,127,High (50+)
892836a6977ffff,127,High (50+)
8929a030517ffff,127,High (50+)
8929a5673cfffff,127,High (50+)
8929a096a0bffff,127,High (50+)
8929a63abb3ffff,127,High (50+)
8929a56a0c7ffff,127,High (50+)
8928347720fffff,127,High (50+)
89291a6dd53ffff,127,High (50+)
8929a0849a3ffff,127,High (50+)
8929a0b5d6bffff,127,High (50+)
8929a4ceec7ffff,127,High (50+)
8929a0a245bffff,127,High (50+)
89291264913ffff,127,High (50+)
8928362dbafffff,127,High (50+)
8929ab98b13ffff,127,High (50+)
8929ac4d373ffff,127,High (50+)
8929a1d4bd7ffff,127,High (50+)
8929a1d9537ffff,127,High (50+)
8929a569acfffff,127,High (50+)
8929ab8a46bffff,127,High (50+)
89283470d9bffff,127,High (50+)
8929a4c5b37ffff,127,High (50+)
8929a4c450fffff,127,High (50+)
8929a54c073ffff,127,High (50+)
892834d2c97ffff,127,High (50+)
89283294937ffff,127,High (50+)
8929aeb2a57ffff,127,High (50+)
8929a00492bffff,127,High (50+)
892830929dbffff,127,High (50+)
8929a1d1873ffff,127,High (50+)
8929a0b098bffff,127,High (50+)
8929a56c9cfffff,127,High (50+)
8929a474b03ffff,127,High (50+)
8929a1dae4fffff,127,High (50+)
8929a1d41c3ffff,127,High (50+)
8929a01068bffff,127,High (50+)
8929a0ac637ffff,127,High (50+)
8929a1d4037ffff,127,High (50+)
8929ab8a513ffff,127,High (50+)
89291279617ffff,127,High (50+)
892834656b3ffff,127,High (50+)
8929a56cdc3ffff,127,High (50+)
8929ab8a1d3ffff,127,High (50+)
8929a1d1a37ffff,127,High (50+)
892830d3407ffff,127,High (50+)
