h3,total_exposure,exposure_bin
89283082893ffff,401,High (50+)
8929a578927ffff,400,High (50+)
892830828bbffff,399,High (50+)
8929a19a3c7ffff,399,High (50+)
8929a1c3467ffff,398,High (50+)
89283082c3bffff,398,High (50+)
8929a199a7bffff,397,High (50+)
8929a199d0bffff,396,High (50+)
8929a0a29abffff,396,High (50+)
8929a456eafffff,395,High (50+)
8929127b293ffff,394,High (50+)
89283471e7bffff,394,High (50+)
89283082bcbffff,394,High (50+)
8929a0b424fffff,392,High (50+)
89283082807ffff,392,High (50+)
8929a401c47ffff,392,High (50+)
8929a09636bffff,391,High (50+)
8929a401cd3ffff,391,High (50+)
89283095263ffff,390,High (50+)
8929a199d97ffff,390,High (50+)
8929a1c211bffff,389,High (50+)
8929a1d6993ffff,389,High (50+)
8929a0a2d9bffff,388,High (50+)
8929a561443ffff,388,High (50+)
89283082b53ffff,388,High (50+)
8929a472693ffff,388,High (50+)
8929a0ad283ffff,387,High (50+)
8929a199a8bffff,387,High (50+)
8929a0b5c2bffff,387,High (50+)
892830876dbffff,386,High (50+)
8929a401d13ffff,386,High (50+)
8929a198c87ffff,385,High (50+)
8929a0ac097ffff,384,High (50+)
8929a0ac443ffff,384,High (50+)
8929a4cecd3ffff,384,High (50+)
8929a41ad97ffff,383,High (50+)
8929a199d4fffff,382,High (50+)
892830812bbffff,382,High (50+)
8929a181bafffff,382,High (50+)
892832ab263ffff,382,High (50+)
892830d24b7ffff,382,High (50+)
89291279307ffff,382,High (50+)
89283082a93ffff,382,High (50+)
89283082c83ffff,381,High (50+)
89283082b1bffff,381,High (50+)
8929a199a47ffff,380,High (50+)
89283082b8bffff,380,High (50+)
8929a40e203ffff,380,High (50+)
89283082c2bffff,380,High (50+)
892830828a7ffff,380,High (50+)
8929a199a0fffff,380,High (50+)
8928308290fffff,380,High (50+)
8929a1d5887ffff,379,High (50+)
89283082d2fffff,378,High (50+)
8928347a9d3ffff,378,High (50+)
8929a18833bffff,377,High (50+)
89283444593ffff,377,High (50+)
8929a62c647ffff,377,High (50+)
89283095267ffff,377,High (50+)
89283082ebbffff,376,High (50+)
8929a56e1bbffff,376,High (50+)
8929127b667ffff,376,High (50+)
8929a41a91bffff,375,High (50+)
8929a1c210bffff,375,High (50+)
8929a1d59d7ffff,374,High (50+)
8928344756bffff,374,High (50+)
8929a4015d3ffff,374,High (50+)
892834718dbffff,374,High (50+)
8929a198edbffff,373,High (50+)
8929a0a24a3ffff,373,High (50+)
8929a1d6987ffff,373,High (50+)
8929a1b354fffff,373,High (50+)
89283082d03ffff,373,High (50+)
89283471213ffff,373,High (50+)
8929a5491abffff,373,High (50+)
8928308286fffff,372,High (50+)
8929a0b7253ffff,372,High (50+)
8929a54da6fffff,372,High (50+)
89283082b67ffff,370,High (50+)
89283082843ffff,370,High (50+)
8929a19b46fffff,370,High (50+)
8928309530bffff,370,High (50+)
8929a03044fffff,369,High (50+)
8929a0a8257ffff,369,High (50+)
8929a4004d7ffff,369,High (50+)
89283082ba3ffff,369,High (50+)
89283082b03ffff,369,High (50+)
8929a41a94fffff,369,High (50+)
8929a1998b3ffff,368,High (50+)
8929a549e83ffff,368,High (50+)
8929a1984abffff,368,High (50+)
8929a54dbdbffff,368,High (50+)
8929a54c84fffff,367,High (50+)
89283082977ffff,367,High (50+)
8929a1c2203ffff,367,High (50+)
8929a11731bffff,367,High (50+)
89283082d0fffff,366,High (50+)
8929a18a833ffff,366,High (50+)
8929a198413ffff,366,High (50+)
8929a08415bffff,366,High (50+)
89283082d3bffff,366,High (50+)
8928308298bffff,366,High (50+)
8929a0b04c3ffff,366,High (50+)
8929a567307ffff,366,High (50+)
8929a561363ffff,365,High (50+)
8928346362fffff,365,High (50+)
89283082b93ffff,365,High (50+)
89283082e8fffff,365,High (50+)
