fips,lc_type,clr,count,exposure,observed_prop,baseline_prop,shrinkage_weight,stabilized_prop,movement,abs_movement,effective_n,exposure_bin
6001,forest,alabaster,891,10026,0.08886894075403949,0.07825823860303426,0.9990035870864886,0.0888583681133948,-1.0572640644690434e-05,1.0572640644690434e-05,10036.0,100+
6001,forest,amber,579,10026,0.05774985038898863,0.010737815759087626,0.9990035870864886,0.057703006990592956,-4.684339839567536e-05,4.684339839567536e-05,10036.0,100+
6001,forest,cocoa,3656,10026,0.3646519050468781,0.13245775985740543,0.9990035870864886,0.3644205438021696,-0.0002313612447085167,0.0002313612447085167,10036.0,100+
6001,forest,green,1843,10026,0.18382206263714343,0.06985240391641093,0.9990035870864886,0.1837085017974456,-0.00011356083969782382,0.00011356083969782382,10036.0,100+
6001,forest,grey,1,10026,9.974067424695791e-05,0.012907196209553095,0.9990035870864886,0.00011250218833155975,1.2761514084601842e-05,1.2761514084601842e-05,10036.0,100+
6001,forest,indigo,1,10026,9.974067424695791e-05,0.02190168631252663,0.9990035870864886,0.00012146441442061289,2.1723740173654974e-05,2.1723740173654974e-05,10036.0,100+
6001,forest,navy,1063,10026,0.10602433672451626,0.017474421275571007,0.9990035870864886,0.1059361044452726,-8.82322792436635e-05,8.82322792436635e-05,10036.0,100+
6001,forest,orange,1213,10026,0.12098543786155995,0.03488503724377538,0.9990035870864886,0.1208996463105259,-8.579155103405345e-05,8.579155103405345e-05,10036.0,100+
6001,forest,red,779,10026,0.07769798523838022,0.009758095555651606,0.9990035870864886,0.07763028905495781,-6.769618342240824e-05,6.769618342240824e-05,10036.0,100+
6001,grass,alabaster,9,34,0.2647058823529412,0.2403785884417701,0.7727272727272727,0.2591769519185841,-0.005528930434357093,0.005528930434357093,44.0,20-50
6001,grass,cocoa,12,34,0.35294117647058826,0.2324808825372947,0.7727272727272727,0.3255638369402943,-0.027377339530293976,0.027377339530293976,44.0,20-50
6001,grass,green,3,34,0.08823529411764706,0.021624670928920647,0.7727272727272727,0.07309651612020925,-0.015138777997437819,0.015138777997437819,44.0,20-50
6001,grass,grey,1,34,0.029411764705882353,0.01918014291086875,0.7727272727272727,0.027086396116106533,-0.0023253685897758197,0.0023253685897758197,44.0,20-50
6001,grass,navy,3,34,0.08823529411764706,0.059107433872383104,0.7727272727272727,0.08161532588008708,-0.006619968237559989,0.006619968237559989,44.0,20-50
6001,grass,orange,3,34,0.08823529411764706,0.07020183026200326,0.7727272727272727,0.08413677960500075,-0.004098514512646312,0.004098514512646312,44.0,20-50
6001,grass,red,3,34,0.08823529411764706,0.027391249843299485,0.7727272727272727,0.07440710223711353,-0.013828191880533539,0.013828191880533539,44.0,20-50
6001,shrub,alabaster,408,2586,0.15777262180974477,0.10081884079587149,0.9961479198767335,0.15755323128195636,-0.00021939052778841006,0.00021939052778841006,2596.0,100+
6001,shrub,amber,182,2586,0.07037896365042537,0.02316320138412433,0.9961479198767335,0.07019708475109447,-0.00018187889933089785,0.00018187889933089785,2596.0,100+
6001,shrub,cocoa,896,2586,0.34648105181747874,0.255123348149032,0.9961479198767335,0.34612913462307027,-0.0003519171944084687,0.0003519171944084687,2596.0,100+
6001,shrub,green,227,2586,0.08778035576179427,0.02871908838707753,0.9961479198767335,0.08755284702768519,-0.00022750873410908035,0.00022750873410908035,2596.0,100+
6001,shrub,grey,13,2586,0.005027068832173241,0.006010798556215136,0.9961479198767335,0.005030858237889889,3.7894057166483475e-06,3.7894057166483475e-06,2596.0,100+
6001,shrub,indigo,1,2586,0.0003866976024748647,0.010037884437550338,0.9961479198767335,0.00042387474744819066,3.717714497332599e-05,3.717714497332599e-05,2596.0,100+
6001,shrub,lemon,1,2586,0.0003866976024748647,0.007494854279151628,0.9961479198767335,0.0004140787915221556,2.738118904729094e-05,2.738118904729094e-05,2596.0,100+
6001,shrub,navy,278,2586,0.10750193348801237,0.05598395131700624,0.9961479198767335,0.10730348209290065,-0.00019845139511172338,0.00019845139511172338,2596.0,100+
6001,shrub,orange,282,2586,0.10904872389791183,0.05155415684753751,0.9961479198767335,0.10882725021898128,-0.00022147367893055048,0.00022147367893055048,2596.0,100+
