fips,lc_type,bldgtype,freq
6115,urban+crop,W,0.24194847020933977
6115,urban+crop,M,0.22383252818035426
6115,forest,H,0.09943639291465378
6115,urban+crop,H,0.051932367149758456
6115,forest,W,0.05085882984433709
6115,shrub,W,0.04066022544283414
6115,forest,M,0.037171229200214706
6115,shrub,H,0.03234031132581857
6115,shrub,M,0.030461621041331186
6115,urban+shrub,W,0.026167471819645734
6115,urban+shrub,M,0.023349436392914653
6115,crop,W,0.018518518518518517
6115,crop,M,0.01610305958132045
6115,urban+crop,C,0.01570048309178744
6115,urban+forest,M,0.014090177133655395
6115,urban+forest,W,0.013687600644122383
6115,urban+grass,M,0.010735373054213635
6115,urban+grass,C,0.006977992485238862
6115,urban+grass,W,0.006977992485238862
6115,urban+shrub,H,0.00630703166935051
6115,urban+crop,S,0.005099302200751476
6115,urban+forest,H,0.004830917874396135
6115,urban+grass,S,0.004159957058507783
6115,crop,H,0.0036231884057971015
6115,urban+shrub,C,0.003488996242619431
6115,urban+shrub,S,0.002818035426731079
6115,forest,S,0.0021470746108427268
6115,urban+grass,H,0.0017444981213097155
6115,forest,C,0.001610305958132045
6115,crop,S,0.0010735373054213634
6115,shrub,C,0.000939345142243693
6115,crop,C,0.0005367686527106817
6115,urban+forest,C,0.00026838432635534085
6115,urban+forest,S,0.00026838432635534085
6115,shrub,S,0.00013419216317767042
6113,urban+crop,W,0.30265090037870007
6113,urban+crop,M,0.2773011824715975
6113,urban,W,0.07311229615889946
6113,urban,M,0.06638843805549115
6113,urban+crop,C,0.029059432722776102
6113,urban+forest,M,0.02117628873946982
6113,urban+forest,W,0.019939717134245305
6113,urban+grass,M,0.01939871705695958
6113,crop,W,0.01908957415565345
6113,urban+grass,W,0.01870314552902079
6113,crop,M,0.01762114537444934
6113,forest,W,0.016075430867918697
6113,forest,M,0.014607002086714584
6113,urban+shrub,M,0.014066002009428858
6113,urban+shrub,W,0.014066002009428858
6113,shrub,W,0.013215859030837005
6113,shrub,M,0.012443001777571683
6113,urban+crop,S,0.010279001468428781
6113,urban+crop,H,0.010047144292449184
6113,urban,C,0.009351572764510395
6113,urban,H,0.007110286730040961
6113,urban,S,0.0019321431331633047
6113,urban+forest,C,0.0017002859571837081
6113,urban+grass,C,0.0013138573305510471
6113,crop,C,0.0010820001545714508
6113,urban+grass,H,0.0010820001545714508
6113,crop,H,0.0010047144292449186
6113,crop,S,0.0006182858026122575
6113,urban+barren,W,0.0006182858026122575
6113,urban+forest,S,0.0006182858026122575
6113,urban+other,M,0.0006182858026122575
6113,urban+other,W,0.0006182858026122575
6113,urban+shrub,H,0.0006182858026122575
6113,forest,H,0.0004637143519591931
6113,urban+forest,H,0.0004637143519591931
6113,forest,S,0.00030914290130612873
6113,urban+barren,M,0.00030914290130612873
6113,urban+grass,S,0.00023185717597959656
6113,forest,C,0.00015457145065306437
6113,grass,M,0.00015457145065306437
6113,shrub,S,0.00015457145065306437
6113,shrub,H,7.728572532653218e-05
6113,urban+shrub,C,7.728572532653218e-05
6113,urban+shrub,S,7.728572532653218e-05
6111,urban+grass,W,0.2029854578129871
6111,urban+grass,M,0.1988043498193688
6111,urban,W,0.11549393922722855
6111,urban,M,0.11215638810951568
6111,urban+forest,W,0.047917698190020355
6111,urban+forest,M,0.04602886431571033
6111,forest,W,0.02873594835964864
6111,forest,M,0.02789239148374319
6111,shrub,M,0.020245365021730757
6111,shrub,W,0.019218426216280646
6111,urban,C,0.018338192954466266
6111,urban+grass,C,0.018301516568557333
6111,urban+shrub,W,0.016339329922429445
6111,urban+shrub,M,0.015899213291522253
6111,urban+crop,W,0.015587464011296327
6111,urban+crop,M,0.01468889255652748
6111,urban+grass,H,0.009462507564504594
