fips,bldgtype,freq
6115,W,0.3988191089640365
6115,M,0.3557434245840043
6115,H,0.20021470746108427
6115,C,0.029522275899087493
6115,S,0.01570048309178744
6113,W,0.47808949686992813
6113,M,0.44408377772625396
6113,C,0.042739006105572304
6113,H,0.02086714583816369
6113,S,0.014220573460081922
6111,W,0.45770295795052357
6111,M,0.4466633657919349
6111,C,0.044910234545487884
6111,H,0.027525627624653867
6111,S,0.023197814087399828
6109,W,0.48311833987661246
6109,M,0.4207515423443634
6109,H,0.06662927650028043
6109,C,0.016264722378014584
6109,S,0.013236118900729107
6107,W,0.4575317552783382
6107,M,0.4279787445653718
6107,H,0.06893808075928505
6107,C,0.027933278395044187
6107,S,0.017618141001960727
6105,W,0.3857677902621723
6105,M,0.37774210807918673
6105,H,0.17228464419475656
6105,C,0.04975922953451043
6105,S,0.014446227929373997
6103,W,0.4672451723295038
6103,M,0.44341236861403077
6103,H,0.05817648496700073
6103,C,0.023710584209239795
6103,S,0.007455389880224884
6101,W,0.47517135263673244
6101,M,0.44803469016645686
6101,C,0.033291369422296824
6101,H,0.023639669883899848
6101,S,0.019862917890614073
6099,W,0.46731228580330253
6099,M,0.4502544397133659
6099,C,0.04494236161595181
6099,S,0.019887838820230555
6099,H,0.017603074047149236
6097,W,0.46513360022344286
6097,M,0.4478633274369239
6097,C,0.03691462619867796
6097,H,0.03135182943859976
6097,S,0.01873661670235546
6095,W,0.472697224189686
6095,M,0.45890249249553106
6095,C,0.03052379506897366
6095,S,0.02158588822557253
6095,H,0.01629060002023677
6093,W,0.4159090909090909
6093,M,0.37927807486631016
6093,H,0.15935828877005348
6093,C,0.023262032085561497
6093,S,0.02219251336898396
6091,W,0.4782608695652174
6091,M,0.47665056360708535
6091,C,0.027375201288244767
6091,S,0.011272141706924315
6091,H,0.00644122383252818
6089,W,0.407955901106586
6089,M,0.3842198362746308
6089,H,0.16347854704019088
6089,C,0.02941297461845407
6089,S,0.01493274096013822
6087,W,0.46571285140562246
6087,M,0.44221887550200806
6087,C,0.03770080321285141
6087,H,0.032178714859437754
6087,S,0.02218875502008032
6085,W,0.45747098074293413
6085,M,0.4505618786177683
6085,C,0.05692812271881394
6085,S,0.022927526397499565
6085,H,0.012111491522984075
6083,W,0.4503710112135228
6083,M,0.43183708781153296
6083,C,0.05523575017469138
6083,H,0.03354074468439091
6083,S,0.029015406115861977
6081,W,0.4666905345487593
6081,M,0.4477981878769519
6081,C,0.05554790559334637
6081,S,0.02349150395197048
6081,H,0.006471868028971937
6079,W,0.4512223209291613
6079,M,0.4285855295627283
6079,H,0.05905965189352812
6079,C,0.040568551969203434
6079,S,0.02056394564537887
