lc_type,clr,count,total,proportion,stable
grass,lavender,169,9744,0.0173440065681445,False
grass,lemon,46,9744,0.004720853858784894,False
grass,lilac,44,9744,0.00451559934318555,False
grass,navy,682,9744,0.06999178981937602,False
grass,olive,285,9744,0.029248768472906403,False
grass,orange,787,9744,0.08076765188834155,False
grass,plum,8,9744,0.0008210180623973727,False
grass,purple,163,9744,0.01672824302134647,False
grass,red,364,9744,0.03735632183908046,False
grass,sage,181,9744,0.01857553366174056,False
grass,sienna,12,9744,0.0012315270935960591,False
grass,tan,18,9744,0.0018472906403940886,False
grass,terracotta,300,9744,0.03078817733990148,False
grass,verde,27,9744,0.002770935960591133,False
other,brown,2,2,1.0,False
shrub,alabaster,9421,83596,0.11269677975022728,True
shrub,amber,2623,83596,0.031377099382745584,True
shrub,aqua,587,83596,0.007021867074979664,False
shrub,aquamarine,279,83596,0.003337480262213503,False
shrub,azure,2481,83596,0.029678453514522227,True
shrub,bar,140,83596,0.0016747212785300732,False
shrub,beige,1304,83596,0.015598832480022968,True
shrub,blue,1187,83596,0.014199243982965692,True
shrub,brown,8144,83596,0.09742092923106369,True
shrub,cocoa,16240,83596,0.1942676683094885,True
shrub,coffee,2304,83596,0.027561127326666348,True
shrub,crimson,42,83596,0.000502416383559022,False
shrub,emerald,8,83596,9.569835877314705e-05,False
shrub,foo,669,83596,0.00800277525240442,False
shrub,gold,10,83596,0.0001196229484664338,False
shrub,gray,813,83596,0.009725345710321067,False
shrub,green,3021,83596,0.03613809273170965,True
shrub,grey,707,83596,0.00845734245657687,False
shrub,indigo,953,83596,0.011400066988851142,False
shrub,ivory,1995,83596,0.023864778219053542,True
shrub,lavender,2383,83596,0.028506148619551176,True
shrub,lemon,732,83596,0.008756399827742954,False
shrub,lilac,825,83596,0.009868893248480788,False
shrub,maroon,15,83596,0.0001794344226996507,False
shrub,navy,5267,83596,0.06300540695727068,True
shrub,olive,3221,83596,0.03853055170103833,True
shrub,orange,5029,83596,0.06015838078376956,True
shrub,plum,29,83596,0.000346906550552658,False
shrub,purple,807,83596,0.009653571941241208,False
shrub,red,4142,83596,0.04954782525479688,True
shrub,sage,3303,83596,0.039511459878463086,True
shrub,scarlet,2,83596,2.392458969328676e-05,False
shrub,sienna,434,83596,0.005191635963443227,False
shrub,tan,297,83596,0.003552801569453084,False
shrub,terracotta,3655,83596,0.043722187664481556,True
shrub,verde,506,83596,0.006052921192401551,False
shrub,yellow,21,83596,0.000251208191779511,False
urban,alabaster,68494,1123691,0.0609544794787891,True
urban,amber,75571,1123691,0.06725247421221671,True
urban,aqua,219,1123691,0.00019489343600687377,False
urban,aquamarine,80,1123691,7.119394922625526e-05,False
urban,auburn,4295,1123691,0.003822225149084579,True
urban,azure,37328,1123691,0.033219096708970705,True
urban,bar,922,1123691,0.0008205102648325918,False
urban,beige,26282,1123691,0.02338899216955551,True
urban,blue,17004,1123691,0.015132273908040556,True
urban,brown,14118,1123691,0.012563952189703397,True
urban,cocoa,147058,1123691,0.13087049731643308,True
urban,coffee,3943,1123691,0.0035089717724890563,True
urban,crimson,40,1123691,3.559697461312763e-05,False
urban,emerald,37,1123691,3.292720151714306e-05,False
urban,foo,49877,1123691,0.04438675756947417,True
urban,gold,1785,1123691,0.0015885149921108204,True
urban,gray,761,1123691,0.0006772324420147532,False
urban,green,54079,1123691,0.04812621975258323,True
urban,grey,17687,1123691,0.01574009224955971,True
urban,indigo,5826,1123691,0.005184699352402039,True
urban,ivory,51056,1123691,0.045435978396196106,True
urban,lavender,18511,1123691,0.01647338992659014,True
urban,lemon,56127,1123691,0.04994878485277536,True
urban,lilac,48670,1123691,0.043312618860523046,True
urban,maroon,570,1123691,0.0005072568882370687,False
urban,navy,59787,1123691,0.05320590802987654,True
urban,olive,52830,1123691,0.04701470422028832,True
urban,orange,75198,1123691,0.06692053242394928,True
urban,plum,1019,1123691,0.0009068329282694264,True
urban,purple,62565,1123691,0.05567811791675825,True
urban,red,76428,1123691,0.06801513939330296,True
urban,sage,16609,1123691,0.01478075378373592,True
urban,scarlet,1785,1123691,0.0015885149921108204,True
urban,sienna,14155,1123691,0.01259687939122054,True
urban,terracotta,62736,1123691,0.055830294983229375,True
urban,yellow,239,1123691,0.0002126919233134376,False
urban+barren,alabaster,9397,90420,0.10392612253926123,True
urban+barren,amber,9809,90420,0.10848263658482636,True
urban+barren,aqua,121,90420,0.001338199513381995,False
urban+barren,aquamarine,101,90420,0.0011170095111700952,False
urban+barren,auburn,7,90420,7.7416500774165e-05,False
urban+barren,azure,103,90420,0.001139128511391285,False
urban+barren,bar,2,90420,2.2119000221190002e-05,False
urban+barren,beige,396,90420,0.004379562043795621,False
urban+barren,blue,232,90420,0.0025658040256580405,False
urban+barren,brown,213,90420,0.0023556735235567353,False
urban+barren,cocoa,14673,90420,0.16227604512276045,True
urban+barren,coffee,96,90420,0.00106171201061712,False
urban+barren,crimson,9,90420,9.953550099535501e-05,False
urban+barren,emerald,4,90420,4.4238000442380005e-05,False
urban+barren,foo,627,90420,0.006934306569343066,False
urban+barren,gold,27,90420,0.00029860650298606505,False
urban+barren,gray,128,90420,0.0014156160141561602,False
urban+barren,green,6698,90420,0.07407653174076531,True
urban+barren,grey,656,90420,0.007255032072550321,False
urban+barren,indigo,660,90420,0.0072992700729927005,False
urban+barren,ivory,725,90420,0.008018137580181375,False
urban+barren,lavender,192,90420,0.00212342402123424,False
urban+barren,lemon,1551,90420,0.017153284671532848,True
urban+barren,lilac,677,90420,0.007487281574872816,False
urban+barren,maroon,9,90420,9.953550099535501e-05,False
urban+barren,navy,9369,90420,0.10361645653616457,True
urban+barren,olive,779,90420,0.008615350586153507,False
urban+barren,orange,11602,90420,0.1283123202831232,True
urban+barren,plum,35,90420,0.000387082503870825,False
urban+barren,purple,8949,90420,0.09897146648971467,True
urban+barren,red,11400,90420,0.126078301260783,True
urban+barren,sage,160,90420,0.0017695200176952002,False
urban+barren,scarlet,8,90420,8.847600088476001e-05,False
urban+barren,sienna,168,90420,0.0018579960185799603,False
urban+barren,terracotta,786,90420,0.00869276708692767,False
urban+barren,yellow,51,90420,0.0005640345056403451,False
urban+crop,alabaster,11790,147423,0.07997395250401905,True
urban+crop,amber,9233,147423,0.06262930478961899,True
urban+crop,aqua,913,147423,0.006193063497554656,False
urban+crop,aquamarine,1947,147423,0.013206894446592458,True
urban+crop,auburn,148,147423,0.0010039139075992212,False
urban+crop,azure,4741,147423,0.03215916105356695,True
urban+crop,bar,551,147423,0.003737544345183587,False
urban+crop,beige,1253,147423,0.008499352204201515,True
urban+crop,blue,2123,147423,0.014400738012386127,True
urban+crop,brown,11718,147423,0.07948556195437619,True
urban+crop,cocoa,7998,147423,0.05425205022282819,True
urban+crop,coffee,4990,147423,0.03384817837108185,True
urban+crop,crimson,1531,147423,0.010385082381989243,True
urban+crop,emerald,215,147423,0.0014583884468502202,False
urban+crop,foo,4985,147423,0.03381426236068999,True
urban+crop,gold,1603,147423,0.010873472931632107,True
urban+crop,gray,3144,147423,0.02132638733440508,True
urban+crop,green,4836,147423,0.03280356525101239,True
urban+crop,grey,2145,147423,0.014549968458110336,True
urban+crop,indigo,1699,147423,0.011524660331155925,True
urban+crop,ivory,338,147423,0.0022927223024901133,False
urban+crop,lavender,10815,147423,0.07336033047760526,True
urban+crop,lemon,350,147423,0.002374120727430591,False
urban+crop,lilac,1695,147423,0.011497527522842433,True
urban+crop,maroon,99,147423,0.0006715370057589385,False
urban+crop,navy,4627,147423,0.03138587601663241,True
urban+crop,olive,5542,147423,0.037592505918343816,True
urban+crop,orange,6660,147423,0.04517612584196496,True
urban+crop,plum,439,147423,0.0029778257124057983,False
urban+crop,purple,6131,147423,0.041587811942505576,True
urban+crop,red,10502,147423,0.07123718822707448,True
urban+crop,sage,6034,147423,0.04092984134090338,True
urban+crop,scarlet,457,147423,0.0030999233498165144,False
urban+crop,sienna,3126,147423,0.021204289696994363,True
urban+crop,tan,61,147423,0.00041377532678076013,False
urban+crop,terracotta,9382,147423,0.06364000189929658,True
urban+crop,verde,631,147423,0.0042802005114534365,False
urban+crop,yellow,2971,147423,0.02015289337484653,True
urban+forest,alabaster,25435,320216,0.07943075923751468,True
urban+forest,amber,18924,320216,0.059097609113848155,True
urban+forest,aqua,774,320216,0.0024171184450495916,False
urban+forest,aquamarine,294,320216,0.0009181302620731007,False
urban+forest,auburn,77,320216,0.00024046268768581207,False
urban+forest,azure,3241,320216,0.010121293127139181,True
urban+forest,bar,1583,320216,0.004943538111774552,True
urban+forest,beige,1992,320216,0.006220800959352437,True
urban+forest,blue,3730,320216,0.01164838733854648,True
urban+forest,brown,27931,320216,0.08722549778899243,True
urban+forest,cocoa,24411,320216,0.07623291778049816,True
urban+forest,coffee,7777,320216,0.02428673145626702,True
urban+forest,crimson,2569,320216,0.008022709670972093,True
urban+forest,emerald,280,320216,0.000874409773402953,False
urban+forest,foo,10002,320216,0.03123516626277263,True
urban+forest,gold,893,320216,0.0027887425987458466,False
urban+forest,gray,2081,320216,0.006498738351612661,True
urban+forest,green,19210,320216,0.05999075623953831,True
urban+forest,grey,2700,320216,0.008431808529242761,True
urban+forest,indigo,8810,320216,0.027512678941714344,True
urban+forest,ivory,7528,320216,0.023509131336347966,True
urban+forest,lavender,21574,320216,0.06737327304069753,True
urban+forest,lemon,8762,320216,0.027362780123416693,True
urban+forest,lilac,7460,320216,0.02329677467709296,True
urban+forest,maroon,35,320216,0.00010930122167536913,False
urban+forest,navy,8008,320216,0.025008119519324457,True
urban+forest,olive,19128,320216,0.05973467909161316,True
urban+forest,orange,14738,320216,0.046025183001474006,True
urban+forest,plum,725,320216,0.0022640967347040747,False
urban+forest,purple,7806,320216,0.024377295325655184,True
urban+forest,red,13106,320216,0.04092862317935394,True
urban+forest,sage,12624,320216,0.03942338921228171,True
urban+forest,scarlet,247,320216,0.0007713543358233193,False
urban+forest,sienna,1489,320216,0.0046499862592749895,True
urban+forest,tan,431,320216,0.0013459664726309742,False
urban+forest,terracotta,29567,320216,0.09233454917930398,True
urban+forest,verde,3991,320216,0.012463462163039948,True
urban+forest,yellow,283,320216,0.0008837784495465561,False
urban+grass,alabaster,25233,264796,0.09529222495808094,True
urban+grass,amber,23651,264796,0.0893178144684965,True
urban+grass,aqua,1056,264796,0.0039879756491789905,True
urban+grass,aquamarine,342,264796,0.0012915602954727413,False
urban+grass,auburn,57,264796,0.00021526004924545688,False
urban+grass,azure,8336,264796,0.031480838079125065,True
urban+grass,bar,487,264796,0.0018391516488164474,False
urban+grass,beige,1020,264796,0.0038520219338660706,True
urban+grass,blue,3530,264796,0.013331017084850225,True
urban+grass,brown,19632,264796,0.07414009275064579,True
urban+grass,cocoa,20062,264796,0.07576398435021676,True
urban+grass,coffee,1491,264796,0.005630749709210109,True
urban+grass,crimson,300,264796,0.0011329476276076677,False
urban+grass,emerald,89,264796,0.0003361077961902748,False
urban+grass,foo,8235,264796,0.031099412377830482,True
urban+grass,gold,697,264796,0.002632214988141815,False
urban+grass,gray,1700,264796,0.006420036556443451,True
urban+grass,green,11603,264796,0.043818637743772565,True
urban+grass,grey,1503,264796,0.005676067614314415,True
urban+grass,indigo,4341,264796,0.016393752171482954,True
urban+grass,ivory,4271,264796,0.016129397725041163,True
urban+grass,lavender,16241,264796,0.061334008066587106,True
urban+grass,lemon,4817,264796,0.01819136240728712,True
urban+grass,lilac,4958,264796,0.018723847792262723,True
