fips,num_anomalies,avg_divergence
6001,0.0,0.4325181545061283
6003,3.0,0.7094097572022569
6005,1.0,0.6500744721703949
6007,0.0,0.5503888796907168
6009,0.0,0.6435065048547425
6011,4.0,0.6992305816426112
6013,1.0,0.5228723906297535
6015,0.0,0.6243053966322067
6017,0.0,0.5164274858655775
6019,0.0,0.4137698627559569
6021,0.0,0.6168765020711602
6023,3.0,0.6755830056695741
6025,0.0,0.6270073172679543
6027,5.0,0.6895430451085203
6029,0.0,0.4047264044615249
6031,0.0,0.6382045687906357
6033,2.0,0.6645560551202743
6035,0.0,0.6390199639050751
6037,1.0,0.5812966099499787
6039,3.0,0.6566664884277149
6041,1.0,0.6585261049332477
6043,4.0,0.7152236584515522
6045,0.0,0.6005034036722607
6047,0.0,0.6354257287532112
6049,5.0,0.696424833544363
6051,4.0,0.6816609093668473
6053,0.0,0.5478918130781137
6055,1.0,0.6551320094305851
6057,1.0,0.6671496372778284
6059,0.0,0.41981940253708355
6061,0.0,0.548945403924938
6063,1.0,0.6775486188883584
6065,0.0,0.403774421952766
6067,0.0,0.436595377556415
6069,0.0,0.5963240840097598
6071,0.0,0.408356743361584
6073,0.0,0.5715245248909494
6075,1.0,0.6556745091337746
6077,0.0,0.537074121916184
6079,0.0,0.5139138692633373
6081,1.0,0.589637439029689
6083,0.0,0.5211851739285834
6085,0.0,0.4339590108434166
6087,2.0,0.6130848642394081
6089,0.0,0.5522686152687637
6091,2.0,0.6772417687408744
6093,0.0,0.6349407572000949
6095,0.0,0.5240441647255762
6097,0.0,0.5121573269334734
6099,0.0,0.5448216973136969
6101,0.0,0.5922501245747153
6103,0.0,0.6315411960986785
6105,0.0,0.6444265759820884
6107,0.0,0.543231455924564
6109,0.0,0.6394487471507483
6111,1.0,0.5446322759203643
6113,0.0,0.6295088189316346
6115,0.0,0.6298563352005866
